naics,id,level,parent,industry
0,1,0,0,        All industries
1,2,1,1,Private industries
11,3,2,2,"    Agriculture, forestry, fishing, and hunting"
111-112,4,3,3,        Farms
111,5,4,4,            Crop production
112,6,4,4,            Animal production and aquaculture
113-115,7,3,3,"        Forestry, fishing, and related activities"
21,8,2,2,    Mining
,9,3,8,        Oil and gas extraction
,10,3,8,"        Mining, except oil and gas"
,11,3,8,        Support activities for mining
22,12,2,2,    Utilities
,13,3,12,"        Electric power generation, transmission, and distribution"
,14,3,12,"        Natural gas distribution and water, sewage and other systems"
23,15,2,2,    Construction
,16,3,15,"        Education, hospital, and health structures"
,17,3,15,        Maintenance and repair construction
,18,3,15,        Office and commercial structures
,19,3,15,        Other residential construction
,20,3,15,        Other nonresidential structures
,21,3,15,        Power and communication structures
,22,3,15,        Single-family residential structures
,23,3,15,        Transportation structures and highways and streets
31-33,24,2,2,    Manufacturing
,25,3,24,        Durable goods
,26,4,25,            Wood products
,27,4,25,            Nonmetallic mineral products
,28,4,25,            Primary metals
,29,5,28,                    Iron and steel mills and manufacturing from purchased steel
,30,5,28,                    Nonferrous metal production and processing and foundries
,31,4,25,            Fabricated metal products
,32,4,25,            Machinery
,33,5,32,                    Agricultural implement manufacturing
,34,5,32,                    Construction machinery manufacturing
,35,5,32,                    Mining and oil and gas field machinery manufacturing
,36,5,32,                    Other machinery
,37,4,25,            Computer and electronic products
,38,5,37,                    Computer and peripheral equipment manufacturing
,39,5,37,                    Communications equipment manufacturing
,40,5,37,                    Semiconductor and other electronic component manufacturing
,41,5,37,"                    Navigational, measuring, electromedical, and control instruments manufacturing"
,42,5,37,                    Other computer and electronic product manufacturing
,43,4,25,"            Electrical equipment, appliances, and components"
,44,4,25,"            Motor vehicles, bodies and trailers, and parts"
,45,5,44,                    Automobile manufacturing
,46,5,44,                    Light truck and utility vehicle manufacturing
,47,5,44,                    Heavy duty truck manufacturing
,48,5,44,"                    Motor vehicle body, trailer, and parts manufacturing"
,49,4,25,            Other transportation equipment
,50,5,49,                    Aerospace product and parts manufacturing
,51,5,49,                    All other transportation equipment manufacturing
,52,4,25,            Furniture and related products
,53,4,25,            Miscellaneous manufacturing
,54,5,49,                    Medical equipment and supplies manufacturing
,55,5,49,                    Other miscellaneous manufacturing
,56,3,24,        Nondurable goods
,57,4,56,            Food and beverage and tobacco products
,58,5,57,                    Food manufacturing
,59,5,57,                    Beverage manufacturing
,60,5,57,                    Tobacco product manufacturing
,61,4,56,            Textile mills and textile product mills
,62,4,56,            Apparel and leather and allied products
,63,4,56,            Paper products
,64,4,56,            Printing and related support activities
,65,4,56,            Petroleum and coal products
,66,4,56,            Chemical products
,67,5,66,                    Basic chemical manufacturing
,68,5,66,"                    Resin, rubber, and artificial fibers manufacturing"
,69,5,66,                    Pharmaceutical and medicine manufacturing
,70,5,66,                    Other chemical manufacturing
,71,4,56,            Plastics and rubber products
42,72,2,2,    Wholesale trade
,73,3,72,        Motor vehicle and motor vehicle parts and supplies merchant wholesalers
,74,3,72,        Professional and commercial equipment and supplies merchant wholesalers
,75,3,72,        Household appliances and electrical and electronic goods merchant wholesalers
,76,3,72,"        Machinery, equipment, and supplies merchant wholesalers"
,77,3,72,        Other durable goods merchant wholesalers
,78,3,72,        Drugs and druggists sundries merchant wholesalers
,79,3,72,        Grocery and related products merchant wholesalers
,80,3,72,        Petroleum and petroleum products merchant wholesalers
,81,3,72,        Other nondurable goods merchant wholesalers
,82,3,72,        Wholesale electronic markets and agents and brokers
,83,3,72,        Customs duties
44-45,84,2,2,    Retail trade
,85,3,84,        Motor vehicle and parts dealers
,86,3,84,        Food and beverage stores
,87,3,84,        General merchandise stores
,88,3,84,        Other retail
,89,4,88,            Building material and garden equipment and supplies dealers
