Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry
Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Wages and salaries per full-time equivalent employee",2822,2881,3034,3266,3459,3644,3737,3930,4141,4306,4476,4676,4822,4967,5158,5345,5610,5808,6059,6310,6756,7227,7744,8251,8790,9322,10011,10810,11578,12363,13259,14356,15746,17178,18498,19426,20357,21323,22211,23188
2,Domestic industries,2821,2879,3033,3263,3454,3639,3729,3921,4132,4297,4466,4666,4813,4958,5152,5339,5605,5806,6057,6308,6754,7225,7741,8248,8787,9319,10009,10807,11575,12360,13256,14353,15743,17167,18486,19412,20343,21309,22214,23186
3,"    Private industries",2821,2877,3030,3286,3484,3686,3772,3957,4173,4343,4486,4714,4855,5002,5202,5380,5647,5837,6098,6342,6772,7237,7679,8144,8634,9154,9867,10655,11430,12222,13142,14277,15672,17052,18363,19226,20111,21050,21949,22894
4,"        Agriculture, forestry, and fishing",1595,1564,1531,1656,1697,1688,1607,1640,1734,1811,1854,1905,2010,2106,2239,2374,2641,2907,3186,3405,3639,3992,4196,4280,4460,4995,5380,5789,6153,6746,7268,7847,8146,8410,10041,9413,10402,11720,11950,12096
5,"            Farms",1541,1501,1454,1568,1594,1564,1464,1498,1578,1657,1690,1742,1848,1929,2044,2166,2413,2661,2923,3136,3327,3646,3787,3783,3900,4391,4776,5073,5416,6021,6687,7264,7364,7476,8941,7965,8837,10337,10215,10156
6,"            Agricultural services, forestry, and fishing",2379,2450,2642,2797,2959,3229,3407,3371,3503,3538,3766,3800,3735,3870,4000,4123,4267,4422,4621,4699,5051,5467,5979,6401,6674,7164,7599,8653,8877,9115,8781,9234,9975,10397,12590,12870,13562,13968,14456,14643
7,"        Mining",3396,3215,3465,3889,4067,4374,4402,4721,5033,5235,5252,5573,5725,5900,6095,6324,6624,6904,7253,7672,8117,8799,9457,10038,10861,11701,12950,14728,15962,17356,19354,21310,23759,26564,28340,29639,30894,32188,33490,34149
8,"            Metal mining",3340,3436,3625,4127,4592,4953,4703,5057,5375,5487,5478,5880,6116,6303,6524,6630,6975,7176,7398,7662,8169,8582,9095,9652,10674,11500,12458,14161,15688,16891,21854,24270,27261,29935,28811,29983,30732,32404,32522,33020
9,"            Coal mining",3388,2922,3245,3762,3718,4061,3959,4470,4858,5086,4809,5274,5367,5357,5507,5786,6162,6543,7000,7401,7740,8752,9790,10331,11323,12335,13580,15924,17018,18292,20168,22385,24478,27333,29186,30789,33148,33936,35155,36376
