Table 6.6C. Wages and Salaries Per Full-Time Equivalent Employee by Industry
Table 6.6C. Wages and Salaries Per Full-Time Equivalent Employee by Industry
"Last Revised on: September 27, 2024"
Line,,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
,,,,,,,,,,,,,,,
1,"            Wages and salaries per full-time equivalent employee",23188,24365,25138,26385,27485,28929,29603,30309,31143,32321,33792,35509,37050,39231
2,Domestic industries,23186,24355,25130,26386,27490,28936,29531,30231,31064,32249,33712,35427,36974,39166
3,"    Private industries1",22894,24085,24805,25985,26986,28444,28960,29594,30437,31669,33224,35038,36611,38862
4,"        Agriculture, forestry, and fishing",12096,12805,14022,15901,16053,16579,17246,17808,18137,19237,20363,20672,21115,22653
5,"            Farms",10156,11017,12579,14805,14507,14907,16236,16987,17603,19314,19859,21092,20467,22270
6,"            Agricultural services, forestry, and fishing",14643,15028,15635,17124,17760,18329,18239,18545,18607,19175,20783,20360,21602,22922
7,"        Mining",34149,35121,36519,38071,39768,42445,43363,44563,46110,48624,50995,53155,55759,59346
8,"            Metal mining",33020,35141,36083,37138,39348,41174,42565,44288,46867,50622,50146,52216,56201,55024
9,"            Coal mining",36376,37237,38517,40796,41633,43440,43806,45547,46768,49673,50697,51696,52437,54042
10,"            Oil and gas extraction",34962,35883,37688,39105,41315,45001,46149,47115,49030,51762,54955,57432,61590,67228
11,"            Nonmetallic minerals, except fuels",28430,29543,30187,31312,31700,33076,33907,35294,36269,37333,39399,41649,42647,43086
12,"        Construction",24774,26027,26823,27931,28634,29446,29522,30345,30593,31810,33118,34900,36395,38143
13,"        Manufacturing",26772,28037,28924,30136,31338,33145,33685,34626,35805,37301,39370,41143,43087,46015
14,"            Durable goods",28329,29592,30512,31741,32987,34832,35474,36575,37719,39177,41246,42922,45095,48260
15,"                Lumber and wood products",19789,20776,21168,21805,22298,23465,24057,24576,25351,26373,27651,28564,29277,30339
16,"                Furniture and fixtures",19021,19817,20456,21493,22181,23529,24142,24469,25071,26286,27944,29227,29942,30987
17,"                Stone, clay, and glass products",26114,27007,27509,28429,29153,30903,31139,32121,33420,34978,36222,37364,39015,41049
18,"                Primary metal industries",29907,31477,32771,33696,34051,36406,37212,38469,39917,41102,42427,43232,44815,45774
19,"                Fabricated metal products",25476,26616,27287,28303,29439,30812,31288,32334,33042,34154,35597,36516,37366,38570
20,"                Industrial machinery and equipment",30037,31631,32566,34084,35278,37293,37910,38923,39972,41840,44480,46394,49841,54958
21,"                Electronic and other electric equipment",27442,28641,29765,31125,32740,34936,36129,37237,38765,40359,43421,46055,50570,57602
22,"                Motor vehicles and equipment",35305,37604,38133,38308,39881,41353,43282,46816,47463,48458,49975,52197,53886,55632
23,"                Other transportation equipment",33759,34300,35623,37404,39031,41583,42155,43420,44608,45663,47866,48951,50350,52123
24,"                Instruments and related products",31984,33218,34407,35950,37899,40260,40963,42155,44375,46878,49136,51950,55191,59271
25,"                Miscellaneous manufacturing industries",21002,22258,22799,24519,25094,26605,26958,27350,28133,29087,30780,32221,33447,34957
26,"            Nondurable goods",24519,25768,26619,27859,29077,30878,31308,32000,33153,34632,36635,38476,40046,42558
27,"                Food and kindred products",23564,24479,25162,25968,26976,28459,28773,29235,30119,30763,32144,33700,34379,36300
28,"                Tobacco products",35508,38039,41154,40128,41827,45309,44504,46470,52468,57698,59045,59437,62255,70552
29,"                Textile mill products",18451,18963,19788,20289,21451,22754,23150,23737,24181,25065,26693,27523,28703,29709
30,"                Apparel and other textile products",14208,14952,15539,16211,16985,17765,17940,18224,18828,19968,21070,22322,23530,25521
31,"                Paper and allied products",30087,31418,32334,33583,34536,36606,37065,38127,39350,41049,42849,43637,45189,46811
32,"                Printing and publishing",25585,27104,27559,28952,29973,32030,32607,33177,34554,35947,37879,39773,41357,43549
33,"                Chemicals and allied products",35417,37445,39025,41028,43036,46071,46798,48583,50653,53320,57166,60304,63104,68765
34,"                Petroleum and coal products",40328,41107,42767,45057,47310,50423,51223,54164,54547,55501,59897,63798,64148,64915
35,"                Rubber and miscellaneous plastics products",22785,23877,24524,25571,26402,28044,28649,29255,30011,31041,32589,33898,34803,35968
36,"                Leather and leather products",15512,16385,17129,18173,19266,20331,20822,21364,22190,23789,24935,26406,28176,29988
37,"        Transportation and public utilities",30108,30933,31729,33110,34361,36363,36648,37589,38299,39519,41246,43159,45708,47823
38,"            Transportation",26522,27212,27803,29136,30184,31779,31603,32165,32462,33307,34796,36184,37530,38907
39,"                Railroad transportation",41972,41833,42323,43672,45981,50375,50565,51884,50638,55478,57417,60826,60843,62936
40,"                Local and interurban passenger transit",15455,16699,17058,17990,18676,19484,19500,20032,20565,21187,21897,22879,23677,24669
41,"                Trucking and warehousing2",23633,24554,25099,26368,26996,28460,28428,29280,29796,30543,31932,33148,34230,35290
42,"                Water transportation",29902,30845,32136,33961,34726,36460,36866,37317,37550,39081,40748,42672,43547,45320
43,"                Transportation by air2",32546,30817,31620,32929,34580,36217,36033,36446,36403,37037,39271,40454,42784,44218
44,"                Pipelines, except natural gas",40179,43019,42747,46198,47038,51571,49842,54252,56953,55214,60176,64771,65548,66648
45,"                Transportation services",22071,23520,24317,26183,27321,28708,28974,29699,30967,31796,33018,34952,36529,38917
46,"            Communications",35161,36350,37337,38803,40223,43092,44520,46534,48807,50696,52960,56380,62327,64545
47,"                Telephone and telegraph",37243,38832,40226,41537,43217,46488,48223,50481,52702,54370,56575,59788,66241,68317
48,"                Radio and television",29295,29564,29872,31752,32475,34583,35414,36979,39778,42377,44297,48129,52652,54945
49,"            Electric, gas, and sanitary services",35448,36734,38511,39667,41413,43912,45170,47013,48219,50660,52789,55511,58338,62953
50,"        Wholesale trade",27345,29310,30158,31598,32939,34738,35547,36489,37883,39494,41562,44055,46295,49168
51,"        Retail trade",14650,15265,15613,16136,16892,17396,17775,18260,18536,19077,19821,20947,21821,22688
52,"        Finance, insurance, and real estate",28017,29935,30696,31995,33388,37483,38569,38789,41310,44789,48255,52531,55252,61080
53,"            Depository institutions",23005,24650,25634,26649,27653,30182,30803,31762,33767,36225,38651,41424,43717,45101
54,"            Nondepository institutions",28733,30568,31614,33075,34742,39070,40730,38801,41352,43711,46645,52325,52724,55817
55,"            Security and commodity brokers",65232,68180,65120,67736,74241,96182,97800,85861,95039,108952,119577,129776,136688,162052
56,"            Insurance carriers",27533,29342,30735,32426,34331,37009,38281,39943,41786,44348,46584,49743,51871,54821
57,"            Insurance agents, brokers, and service",27222,29107,30265,31830,32631,34768,35260,36521,37977,39988,42034,43905,45757,48654
58,"            Real estate",22260,23931,24875,25159,25031,26449,26741,27409,28331,29914,32040,35063,36712,39408
59,"            Holding and other investment offices",40051,45456,46634,50239,50387,58510,58862,58040,63512,69465,76144,85479,88938,101201
60,"        Services",21003,22379,23258,24767,25686,26994,27671,28244,29142,30182,31467,33134,34687,36942
61,"            Hotels and other lodging places",14752,15823,16516,17509,18419,19467,19873,20167,20712,21487,22527,23844,25039,26381
62,"            Personal services",13638,14900,15493,16121,16710,17262,17524,17813,18530,19250,20683,21845,22715,23659
63,"            Business services",18931,19786,20816,22009,22969,24058,24346,24621,26031,27900,29888,32489,35427,38990
64,"            Auto repair, services, and parking",17699,18453,18943,19890,20471,21303,21590,22170,22697,23230,23956,25062,25859,27008
65,"            Miscellaneous repair services",21806,22790,23913,24720,25299,26504,26987,27238,28309,29231,30340,31818,32667,34436
66,"            Motion pictures",26421,26789,27204,30345,30837,31796,34696,34305,35700,38377,39787,40949,41017,43711
67,"            Amusement and recreation services",17267,18671,18859,20541,21504,23136,24020,23750,24823,25810,26808,28612,30092,31126
68,"            Health services",23959,25964,27166,29089,30490,31450,32575,33578,34197,34706,35639,36900,37916,39455
69,"            Legal services",37230,40330,41696,46348,47681,50410,50797,51824,53399,55133,57418,60520,62925,67917
70,"            Educational services",17364,18758,19724,20806,21814,22398,23084,23760,24466,25360,26236,27260,28278,29601
71,"            Social services and membership organizations",14883,15727,16270,16927,16860,18484,19099,19748,20355,20945,21617,22451,23309,24347
72,"                Social services",13061,13724,14477,15383,16107,16897,17257,17629,18180,18661,19188,19930,20546,21506
73,"                Membership organizations",16573,17578,17941,18383,17535,20159,21094,22150,22875,23626,24509,25489,26748,27972
74,"            Other services3",33762,34742,36033,38246,39954,42656,43329,44123,45815,47316,49540,51968,54269,57829
75,"            Private households",10359,11475,10640,11373,11172,11603,12392,13294,14004,14268,14216,15626,14556,16109
76,"    Government",24547,25623,26661,28252,29789,31192,32220,33324,34194,35207,36256,37501,38939,40824
77,"        Federal",26039,27394,28231,30009,32093,34294,35973,37352,38370,39910,41281,42538,44093,46749
78,"            General government",25305,26643,27517,29132,31291,33191,34968,36314,37418,38947,40328,41535,43264,45487
79,"                Civilian",28984,30504,31435,32602,34859,36570,39193,41365,42695,44707,46184,47603,49575,52217
80,"                Military4",22009,23072,23845,25729,27748,29611,30251,30605,31388,32318,33513,34404,35845,37466
81,"            Government enterprises",30034,31363,31985,34588,36258,39998,41171,42416,42785,44210,45458,46888,47621,52231
82,"        State and local",23882,24855,25999,27532,28868,30010,30873,31947,32830,33740,34751,36040,37478,39169
83,"            General government",23772,24716,25862,27420,28763,29827,30682,31828,32750,33643,34615,35879,37300,38965
84,"                Education",24333,24967,26093,27717,29148,30081,30928,31773,32550,33510,34414,35653,36942,38358
85,"                Other1",23194,24449,25616,27106,28358,29560,30421,31887,32969,33790,34843,36137,37715,39684
86,"            Government enterprises1",25423,26839,27966,29121,30346,32731,33685,33646,33959,35119,36683,38352,40037,42115
87,Rest of the world,---,---,---,---,---,---,---,---,---,---,---,---,---,---

Legend/Footnotes
"1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from the private sector to state and local government."
2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.
"3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere classified."
4. Includes Coast Guard.
Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).
