Table 6.5A. Full-Time Equivalent Employees by Industry
Table 6.5A. Full-Time Equivalent Employees by Industry
"Last Revised on: September 27, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
,,,,,,,,,,,,,,,,,,,,,
1,"        Full-time equivalent employees1",35286,33196,30133,26693,27163,30388,31744,34879,36138,34442,35857,37865,42516,47479,53628,54924,53224,47007,47056,48029
2,Domestic industries,35286,33196,30132,26692,27162,30387,31743,34878,36137,34441,35856,37863,42513,47474,53649,54979,53290,47054,47061,48022
3,"    Private industries",32134,29909,26763,23361,23321,25687,26742,28758,30634,28314,29742,31612,35231,37760,38839,37900,36336,38356,40364,41278
4,"        Agriculture, forestry, and fisheries",2952,2770,2698,2512,2486,2482,2501,2579,2557,2445,2368,2326,2300,2226,2121,1961,1869,1937,2007,2065
5,"            Farms",2825,2648,2576,2402,2378,2376,2389,2475,2427,2330,2264,2224,2201,2121,2022,1852,1759,1817,1882,1940
6,"            Agricultural services, forestry, and fisheries",127,122,122,110,108,106,112,104,130,115,104,102,99,105,99,109,110,120,125,125
7,"        Mining",993,932,813,672,693,822,840,897,955,859,832,927,975,985,917,879,829,871,933,981
8,"            Metal mining",124,107,79,50,50,60,71,92,119,95,103,118,131,132,132,107,89,88,98,100
9,"            Anthracite mining",151,144,128,104,92,106,99,98,98,89,88,91,92,89,84,80,73,82,80,533
10,"            Bituminous and other soft coal mining2",471,452,418,358,373,431,443,457,470,416,381,439,452,480,434,415,388,391,429,---
11,"            Crude petroleum and natural gas",159,148,118,105,124,163,165,180,192,192,187,196,204,183,177,198,206,221,231,251
12,"            Nonmetallic mining and quarrying",88,81,70,55,54,62,62,70,76,67,73,83,96,101,90,79,73,89,95,97
13,"        Contract construction",1484,1366,1198,907,703,806,866,1104,1082,1055,1219,1285,1774,2131,1566,1110,1135,1739,2062,2278
14,"        Manufacturing",10428,9309,7895,6678,7204,8364,8904,9645,10591,9131,9967,10882,13137,15284,17402,17050,15186,14493,15205,15276
15,"            Durable goods",5238,4457,3497,2724,2893,3587,3941,4460,5130,4085,4609,5367,6999,8846,10924,10722,8933,7742,8330,8309
16,"                Lumber and basic timber products",604,469,303,225,270,320,360,415,459,398,431,500,609,633,585,559,524,578,658,1228
17,"                Furniture and finished lumber products3",437,371,321,261,279,289,329,364,398,342,384,406,460,444,421,406,402,486,552,---
18,"                Stone, clay, and glass products",397,345,277,204,212,262,281,317,356,310,343,369,433,436,413,386,381,474,503,523
19,"                Iron and steel and their products, including ordnance",1217,1092,857,687,749,917,996,1147,1317,1026,1155,1331,1641,1960,2460,2424,2072,1670,1862,3345
