Table 6.5D. Full-Time Equivalent Employees by Industry
Table 6.5D. Full-Time Equivalent Employees by Industry
"Last Revised on: September 27, 2024"
Line,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Full-time equivalent employees1",117761,120323,122988,123184,121925,121372,122473,124694,126892,128197,127127,120655,119697,121139,123521,125540,128130,131007,133022,135101,137554,139763,132363,136161,141471,144117
2,Domestic industries,118162,120764,123384,123725,122474,121964,123101,125359,127578,128922,128227,121457,120519,121965,124500,126606,129326,132262,134426,136565,138990,141249,133340,137550,143338,146199
3,"    Private industries",99461,101920,104283,104294,102658,102043,103144,105361,107547,108663,107656,100849,99955,101690,104465,106686,109296,112269,114150,116190,118452,120461,113084,117272,122748,125042
4,"        Agriculture, forestry, fishing, and hunting",1173,1198,1170,1095,1085,1098,1043,1016,1099,1102,1087,1060,1099,1112,1141,1167,1187,1239,1219,1220,1219,1222,1195,1203,1218,1209
5,"            Farms2",734,774,752,748,747,759,707,669,644,644,627,634,647,654,668,676,688,700,703,702,697,697,694,695,697,696
6,"            Forestry, fishing, and related activities",439,424,418,347,338,339,337,347,454,459,460,426,453,459,473,490,499,539,516,518,522,525,502,507,521,512
7,"        Mining",558,520,511,528,501,492,510,550,606,647,708,630,642,714,780,797,830,740,600,615,664,663,530,505,549,575
8,"            Oil and gas extraction",138,127,123,123,120,118,119,124,132,143,159,158,157,168,184,193,197,193,172,143,141,140,124,111,111,114
9,"            Mining, except oil and gas",241,231,218,218,208,197,202,210,217,217,223,204,202,210,214,207,203,194,177,183,189,188,173,174,180,186
10,"            Support activities for mining",180,163,169,188,174,176,189,217,256,287,326,268,283,336,382,396,430,353,251,289,334,335,232,220,258,275
11,"        Utilities",598,594,592,592,580,559,553,541,543,544,554,555,546,545,544,540,544,547,549,547,546,544,541,537,548,569
12,"        Construction",6017,6375,6659,6827,6748,6744,7011,7315,7606,7570,7111,5856,5401,5378,5501,5754,6043,6378,6640,6892,7176,7430,7133,7387,7685,7899
13,"        Manufacturing",17246,17051,16948,16126,14973,14214,14021,13946,13884,13596,13129,11514,11223,11443,11652,11742,11917,12075,12039,12180,12387,12526,11844,12087,12522,12614
14,"            Durable goods",10781,10689,10713,10175,9330,8810,8763,8812,8829,8650,8322,7093,6900,7120,7340,7403,7537,7626,7552,7600,7790,7886,7413,7539,7825,7897
15,"                Wood products",596,614,602,560,550,529,542,549,550,507,444,347,333,326,331,343,364,370,381,387,398,398,389,400,420,407
16,"                Nonmetallic mineral products",532,538,549,534,510,490,493,494,505,496,456,377,357,357,357,365,375,389,396,402,411,413,388,395,409,407
17,"                Primary metals",636,617,611,558,499,468,460,460,458,446,436,353,353,382,397,391,391,386,365,360,371,379,345,342,359,366
18,"                Fabricated metal products",1724,1718,1735,1648,1524,1453,1466,1499,1523,1527,1505,1273,1249,1312,1382,1399,1427,1429,1386,1386,1432,1453,1348,1357,1404,1418
19,"                Machinery",1478,1437,1427,1346,1205,1132,1121,1142,1158,1168,1168,999,975,1037,1082,1086,1107,1100,1056,1059,1095,1105,1030,1044,1092,1104
20,"                Computer and electronic products",1807,1732,1779,1733,1479,1334,1300,1293,1287,1254,1227,1117,1079,1090,1080,1048,1033,1042,1033,1029,1039,1059,1047,1043,1070,1083
21,"                Electrical equipment, appliances, and components",587,577,583,548,490,455,438,428,427,421,414,364,351,358,366,368,373,376,376,383,391,393,375,385,400,410
22,"                Motor vehicles, bodies and trailers, and parts",1258,1300,1301,1202,1139,1101,1101,1088,1052,978,866,658,666,708,769,810,863,906,934,959,990,987,881,948,989,1005
23,"                Other transportation equipment",801,776,740,720,675,643,650,671,689,709,724,671,645,654,673,681,677,685,674,670,687,721,689,672,699,733
24,"                Furniture and related products",641,662,671,631,592,559,559,553,546,518,469,371,345,345,343,350,359,370,380,384,384,375,351,365,370,350
25,"                Miscellaneous manufacturing",722,718,715,694,666,646,633,636,633,625,613,561,547,551,559,561,567,573,571,579,592,603,570,588,613,613
26,"            Nondurable goods",6465,6362,6235,5952,5643,5404,5258,5134,5055,4946,4808,4421,4322,4323,4312,4339,4380,4450,4487,4580,4597,4640,4431,4548,4697,4717
27,"                Food and beverage and tobacco products",1721,1736,1728,1710,1690,1658,1637,1617,1615,1621,1615,1578,1561,1575,1585,1599,1626,1674,1719,1789,1812,1848,1794,1862,1942,1997
28,"                Textile mills and textile product mills",642,609,588,517,472,434,403,372,344,321,293,240,230,231,225,224,224,226,221,222,220,212,191,194,194,185
29,"                Apparel and leather and allied products",697,613,539,472,394,344,319,288,267,241,225,189,179,174,171,167,162,160,153,145,137,131,110,112,114,110
30,"                Paper products",623,609,598,563,530,503,485,469,458,447,430,393,382,378,370,367,362,364,361,360,356,362,347,347,355,350
31,"                Printing and related support activities",773,767,757,750,695,659,646,626,622,612,577,506,472,459,447,443,440,441,438,431,419,412,367,363,369,360
32,"                Petroleum and coal products",121,123,120,118,117,115,110,110,110,113,115,113,109,110,110,110,110,109,109,112,112,113,109,104,104,107
33,"                Chemical products",974,971,967,944,910,887,869,864,854,845,837,786,775,774,773,786,791,797,798,815,820,839,832,858,882,884
34,"                Plastics and rubber products",913,934,938,878,836,804,789,788,786,746,716,614,615,622,631,644,665,680,689,705,720,725,682,709,738,723
35,"        Wholesale trade",5331,5450,5551,5539,5410,5402,5484,5606,5731,5820,5783,5394,5281,5343,5466,5550,5633,5688,5681,5743,5706,5725,5476,5501,5824,5924
36,"            Durable goods",3163,3243,3315,3290,3174,3147,3192,3275,3362,3412,3381,3097,3015,3064,3148,3201,3249,3286,3283,3332,3335,3364,3236,3258,3462,3534
37,"            Nondurable goods",2168,2207,2236,2248,2236,2255,2293,2331,2368,2408,2402,2297,2266,2279,2317,2349,2383,2402,2398,2411,2371,2361,2239,2244,2362,2390
