Table 6.3B. Wages and Salaries by Industry
Table 6.3B. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Wages and salaries",135550,134733,147253,171607,185636,198989,197263,212151,229026,239951,241317,259842,272855,280519,299358,314851,337788,363757,400321,429009,471972,518333,551560,584549,638785,708762,772282,814838,899745,994158,1120570,1253314,1373422,1511373,1587517,1677513,1844915,1982550,2102335,2256267
2,Domestic industries,135464,134675,147175,171593,185634,198996,197320,212221,229108,240029,241389,259923,273010,280663,299453,314914,337842,363752,400297,428979,471960,518311,551537,584528,638786,708775,772304,814881,899782,994220,1120669,1253385,1373520,1511529,1587709,1677686,1845126,1982765,2104117,2257623
3,"    Private industries",116444,113848,124542,142364,152256,164658,162415,175625,190306,199016,197267,213869,223828,228192,243106,254888,272917,293842,321908,342496,375271,412711,434305,457748,500899,559976,611792,638641,710876,791632,900651,1016249,1112059,1225680,1280172,1352891,1496988,1608902,1706897,1834506
4,"        Agriculture, forestry, and fishing",3304,3127,3165,3310,3281,3176,3056,3029,3067,3164,3301,3373,3528,3713,3858,3982,4099,4291,4403,4474,4724,5086,5371,5461,5767,6833,7844,8336,9426,10051,10873,12132,12976,13305,14690,14768,15478,16338,16503,17599
5,"            Farms",2990,2806,2811,2910,2846,2724,2579,2557,2566,2658,2770,2841,2964,3090,3170,3244,3284,3380,3414,3412,3537,3763,3942,3912,4025,4698,5473,5844,6532,6870,7229,7903,8218,8044,9138,8809,8792,8921,8336,8389
6,"            Agricultural services, forestry, and fishing",314,321,354,400,435,452,477,472,501,506,531,532,564,623,688,738,815,911,989,1062,1187,1323,1429,1549,1742,2135,2371,2492,2894,3181,3644,4229,4758,5261,5552,5959,6686,7417,8168,9210
7,"        Mining",3372,2967,3202,3644,3717,3814,3495,3767,4213,4361,3897,3957,3962,3876,3901,3940,4100,4308,4504,4634,4862,5376,5816,6043,6647,7325,8871,10884,12243,14076,16606,19818,24044,29964,31401,27831,29596,29420,25620,24144
8,"            Metal mining",334,323,348,421,473,530,475,531,602,620,504,488,581,561,548,537,565,610,651,613,678,781,864,859,918,1012,1196,1317,1459,1554,1792,2160,2399,2784,2132,1739,1721,1523,1398,1486
9,"            Coal mining",1806,1388,1522,1659,1476,1389,1057,1113,1268,1297,1034,1002,950,841,826,839,875,916,959,1014,1014,1164,1400,1498,1789,1949,2390,3360,3829,4317,4679,5641,6095,6396,6917,5850,6497,6346,6082,5784
10,"            Oil and gas extraction",949,964,1007,1181,1350,1442,1502,1620,1774,1865,1777,1846,1800,1837,1864,1882,1941,1999,2065,2162,2291,2496,2566,2645,2838,3144,3932,4794,5431,6523,8214,9834,13224,18364,19983,17829,18727,18762,15267,13775
11,"            Nonmetallic minerals, except fuels",283,292,325,383,418,453,461,503,569,579,582,621,631,637,663,682,719,783,829,845,879,935,986,1041,1102,1220,1353,1413,1524,1682,1921,2183,2326,2420,2369,2413,2651,2789,2873,3099
12,"        Construction",7252,7085,8143,10069,10962,11507,11707,12596,14019,14341,14349,15603,16129,16491,17627,18704,20455,22294,24496,25543,28479,32231,34147,37052,40182,45126,47892,46285,49988,55219,64641,74413,78063,82303,81821,83519,94128,103087,110455,117800
13,"        Manufacturing",47145,44638,50316,59357,64182,71253,67574,73889,79489,82515,78719,86937,89776,89912,96793,100740,107298,115678,128206,134313,146047,157718,158392,160665,175488,196573,211844,211607,238046,266707,299995,335021,355986,387377,385503,400319,444907,468052,480564,497183
14,"            Durable goods",26385,24281,28163,35104,38746,44031,40462,44941,48637,50672,47047,52785,54496,53878,58872,61688,66024,72032,81125,84702,92101,99639,98079,98253,108583,124336,134336,132083,148699,168660,192217,217171,228680,249184,242479,249380,282584,299042,304602,311773
15,"                Lumber and wood products",1945,1733,2056,2358,2363,2370,2246,2514,2613,2397,2342,2650,2578,2463,2620,2767,3043,3209,3399,3484,3932,4315,4477,4971,5469,6113,6213,5827,7029,8122,9203,10120,9789,10082,9436,10939,12153,12438,13126,14260
16,"                Furniture and fixtures",926,881,1082,1139,1213,1286,1218,1377,1464,1496,1448,1603,1617,1574,1715,1790,1953,2114,2363,2400,2660,2871,2811,2944,3376,3802,3901,3578,4108,4596,5219,5689,5858,6311,6237,6884,7856,8329,8824,9529
17,"                Stone, clay, and glass products",1630,1559,1786,2108,2096,2293,2258,2533,2735,2788,2760,3119,3221,3158,3343,3508,3756,3960,4237,4295,4634,5103,5292,5579,6162,6909,7333,7227,8074,9035,10327,11405,11681,12276,11752,12305,13559,13942,14457,14928
18,"                Primary metal industries",4190,3692,4378,5354,5369,6143,5391,6554,7109,7409,6459,7155,7386,7117,7571,7839,8585,9343,10027,9873,10634,11614,11558,11517,12872,14983,16959,16201,18124,20441,23114,26054,25877,28039,23411,21687,23498,22776,21795,21982
19,"                Fabricated metal products",3557,3311,3911,4741,5182,5930,5474,6035,6506,6871,6282,6921,7144,7038,7655,7992,8624,9408,10561,11254,12342,13402,13115,13097,14466,16482,17709,17437,19512,21810,24567,27359,28399,30560,29086,29273,32772,34688,34810,35012
20,"                Machinery, except electrical",4770,4146,4589,6261,6964,7445,6764,7217,8316,8584,7580,8673,8956,8853,9731,10278,11411,12740,14704,15495,16382,18131,18410,17690,19730,23109,26394,26689,29070,32893,38014,44350,48730,53644,51571,49190,56539,59306,58293,59627
21,"                Electric and electronic equipment",3083,2744,3271,4063,4671,5447,5034,5499,6151,6552,6403,7617,8255,8609,9497,9580,9839,10728,12491,13509,14483,15749,15861,15537,16639,19172,20606,19885,22204,25118,29013,33120,36716,40399,42490,46407,53659,57225,58189,58766
22,"                Motor vehicles and equipment",2560,2656,3221,3563,3642,4526,3958,4870,4383,4427,3780,4386,4730,4255,5001,5600,6041,6955,7303,7050,8519,8966,8128,9553,11026,13030,12522,11841,15165,18350,20458,21470,18856,20532,19075,22092,27093,30068,30340,29798
23,"                Other transportation equipment",1700,1652,1696,2964,4457,5422,5048,5100,5791,6417,6309,6652,6437,6612,7281,7711,7887,8303,10101,10995,11662,12024,10835,9723,10463,11374,12401,13016,13771,15134,17579,21043,24325,26789,27535,27909,31116,34619,37838,39884
24,"                Instruments and related products",856,819,965,1257,1458,1674,1626,1730,1951,2116,2097,2311,2415,2445,2588,2698,2823,3067,3559,3867,4177,4591,4654,4641,5112,5807,6462,6591,7380,8548,9643,11058,12709,14463,15633,16261,17478,18702,19727,20343
25,"                Miscellaneous manufacturing industries",1168,1088,1208,1296,1331,1495,1445,1512,1618,1615,1587,1698,1757,1754,1870,1925,2062,2205,2380,2480,2676,2873,2938,3001,3268,3555,3836,3791,4262,4613,5080,5503,5740,6089,6253,6433,6861,6949,7202,7645
26,"            Nondurable goods",20760,20357,22153,24253,25436,27222,27112,28948,30852,31843,31672,34152,35280,36034,37921,39052,41274,43646,47081,49611,53946,58079,60313,62412,66905,72237,77508,79524,89347,98047,107778,117850,127306,138193,143024,150939,162323,169010,175962,185410
27,"                Food and kindred products",5118,5207,5499,6052,6376,6769,6936,7249,7709,7921,7986,8421,8795,8988,9247,9451,9906,10231,10767,11320,11988,12718,13526,14083,14646,15433,16850,17862,19654,21222,23085,25126,27174,29072,30398,31183,32371,33598,34995,36525
28,"                Tobacco manufactures",202,214,224,259,277,292,303,314,329,337,342,358,377,370,389,397,422,423,436,454,484,500,558,577,609,672,733,769,839,883,975,1091,1259,1468,1574,1668,1691,1817,1781,1917
29,"                Textile mill products",3426,3048,3460,3581,3461,3490,3129,3327,3391,3282,3118,3467,3448,3399,3610,3639,3883,4242,4630,4758,5323,5652,5709,5955,6647,7292,7386,6970,8085,8648,9295,9856,10210,10693,10100,11078,11534,11276,12037,13100
30,"                Apparel and other textile products",2924,2809,3006,3126,3253,3449,3326,3517,3733,3770,3670,4012,4092,4120,4476,4620,4926,5274,5646,5946,6573,6928,6896,7108,7626,8257,8400,8314,9604,10122,11037,11573,12170,12988,12692,13440,14442,14157,14501,14989
31,"                Paper and allied products",1501,1465,1686,1923,2004,2224,2292,2499,2712,2812,2868,3152,3288,3464,3678,3828,4028,4250,4616,4876,5267,5768,5994,6172,6704,7290,7885,7921,9167,10182,11247,12421,13434,14586,15084,16127,17677,18525,19421,20293
32,"                Printing and publishing",2519,2653,2814,3033,3251,3530,3703,3942,4246,4471,4565,4849,5162,5331,5546,5723,6093,6436,6970,7427,7969,8695,9163,9424,10087,10829,11574,12066,13144,14458,16074,17900,19877,21799,23511,25381,28352,30814,33053,35640
33,"                Chemicals and allied products",2142,2126,2343,2838,3094,3475,3556,3815,4232,4540,4573,4907,5162,5350,5625,5896,6238,6628,7329,7890,8603,9450,9970,10251,10839,11799,13265,14499,16116,17931,19822,21939,24316,26655,28450,29396,31385,33320,34181,35913
34,"                Petroleum and coal products",912,919,961,1088,1176,1257,1271,1329,1409,1491,1462,1495,1462,1473,1447,1478,1471,1500,1558,1617,1755,1910,2015,2140,2271,2420,2725,3103,3485,3887,4270,4613,5177,5715,6048,6335,6537,6771,6710,6412
35,"                Rubber and miscellaneous plastics products",1035,976,1152,1332,1442,1595,1498,1771,1852,1960,1869,2156,2194,2225,2539,2656,2864,3158,3527,3679,4184,4658,4718,4958,5649,6386,6827,6221,7188,8599,9721,10992,11213,12483,12553,13737,15844,16467,17178,18464
36,"                Leather and leather products",981,940,1008,1021,1102,1141,1098,1185,1239,1259,1219,1335,1300,1314,1364,1364,1443,1504,1602,1644,1800,1800,1764,1744,1827,1859,1863,1799,2065,2115,2252,2339,2476,2734,2614,2594,2490,2265,2106,2156
37,"        Transportation and public utilities",13587,13385,14081,15977,16961,18004,17679,18757,20274,21248,20820,21976,22783,22903,23846,24627,26087,27598,29697,31594,34148,37540,40527,43607,47611,53192,57447,59892,66585,74158,84372,95353,104358,114967,120501,124808,133139,140523,145590,154125
38,"            Transportation",9783,9349,9863,11321,11833,12378,11772,12478,13460,14027,13410,14223,14629,14458,15059,15472,16317,17276,18579,19715,21346,23176,24505,26210,28203,31854,34024,34512,38451,43009,48892,55110,59158,63297,62748,63872,69099,72405,75133,80240
39,"                Railroad transportation",5422,4995,5187,5962,5995,6004,5476,5622,6015,6050,5556,5593,5498,5197,5241,5206,5300,5446,5542,5592,5726,5935,6268,6691,6799,7783,8174,8108,9061,9824,10694,12203,12850,13083,12204,11581,12121,11861,11633,11584
40,"                Local and interurban passenger transit",1203,1180,1164,1221,1254,1276,1229,1222,1240,1277,1248,1274,1307,1311,1321,1337,1374,1427,1503,1594,1708,1775,1868,1937,1934,2033,2213,2375,2500,2641,2813,3063,3383,3609,3715,3681,3829,4005,4190,4420
41,"                Trucking and warehousing1",1617,1689,1994,2295,2534,2878,2919,3299,3620,3820,3868,4396,4592,4667,5038,5345,5754,6265,6834,7173,7938,8765,9123,10227,11539,13228,14079,13786,15572,17805,20545,22776,23586,25221,24751,25430,28205,29541,30824,33559
42,"                Water transportation",880,800,832,1024,1094,1194,1091,1184,1272,1410,1223,1278,1379,1356,1422,1453,1552,1584,1795,1878,1980,2048,2112,1981,2093,2288,2480,2601,2839,3140,3776,4175,4699,5204,5149,4980,5227,5200,5089,5091
