Table 6.1D. National Income Without Capital Consumption Adjustment by Industry
Table 6.1D. National Income Without Capital Consumption Adjustment by Industry
"Last Revised on: March 27, 2025 - Next Release Date April 30, 2025"
Line,,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"            National income without capital consumption adjustment",9056.4,9090.5,9015.2,8975.1,9047.8,9158.1,9246.3,9400.4,9439.7,9540.0,9705.1,9881.6,10074.3,10258.8,10470.5,10582.9,11002.7,11180.4,11375.0,11628.0,11882.8,12027.2,12142.1,12206.7,12289.8,12453.2,12437.1,12516.5,12340.3,12364.4,12455.5,12060.9,11876.6,11908.0,12046.8,12303.3,12464.5,12677.8,12873.3,12884.0,12909.5,13098.4,13222.1,13372.9,13997.7,14052.7,13969.8,14252.5,14283.0,14396.3,14472.0,14619.9,14745.1,15046.5,15306.9,15412.5,15483.6,15605.9,15654.7,15686.7,15725.9,15735.6,15877.6,16078.2,16257.9,16374.5,16571.1,16514.7,16827.1,17044.4,17267.0,17416.3,17648.5,17766.3,17897.6,18074.0,18199.1,16095.1,17541.4,18358.6,18777.8,19275.6,19786.1,20506.4,20965.9,21455.7,21920.8,21971.7,22349.0,22565.2,22895.4,23288.5,23747.9,23989.1,24111.3,24607.3
2,Domestic industries,9016.3,9042.1,8990.2,8887.2,8998.1,9127.2,9202.8,9341.2,9396.1,9483.6,9650.6,9802.0,9976.3,10186.0,10388.9,10528.5,10915.6,11106.1,11292.0,11573.2,11827.1,11977.8,12105.6,12162.6,12246.9,12392.0,12319.5,12355.6,12189.5,12206.9,12278.8,11965.0,11755.9,11785.2,11864.4,12128.2,12260.2,12471.0,12675.2,12670.7,12686.6,12875.9,12976.3,13112.3,13751.5,13824.6,13740.6,14025.3,14067.1,14167.2,14231.6,14384.3,14507.6,14818.1,15054.9,15189.7,15260.9,15393.9,15441.5,15454.1,15511.3,15519.9,15657.7,15802.9,15985.6,16110.3,16262.7,16187.8,16512.3,16741.0,16998.8,17141.6,17356.2,17473.4,17617.9,17811.4,17927.9,15916.7,17331.5,18171.8,18594.4,19145.6,19650.7,20344.7,20848.2,21294.7,21744.2,21829.8,22249.0,22460.5,22794.9,23193.6,23665.7,23929.2,24098.1,24529.7
3,"    Private industries",7929.7,7940.7,7864.4,7748.7,7845.6,7959.8,8016.0,8135.0,8172.3,8243.2,8398.7,8537.3,8692.5,8885.4,9075.1,9199.4,9570.4,9750.0,9923.6,10191.1,10429.3,10567.3,10676.5,10716.9,10782.2,10914.0,10823.2,10842.3,10656.8,10660.3,10713.7,10385.1,10175.1,10185.1,10253.7,10504.6,10622.2,10813.9,11018.9,11012.6,11025.4,11208.9,11312.5,11458.6,12090.0,12164.7,12073.6,12343.1,12369.6,12460.2,12520.3,12659.6,12771.6,13070.4,13291.5,13407.7,13461.4,13579.4,13615.3,13618.6,13666.0,13667.2,13792.0,13929.3,14101.2,14215.9,14351.0,14254.3,14555.7,14764.2,15002.1,15137.8,15353.9,15460.3,15577.3,15737.9,15809.5,13860.9,15239.1,16065.3,16477.7,17009.9,17481.4,18174.2,18665.4,19106.5,19533.0,19592.2,19973.1,20155.8,20445.7,20810.4,21235.0,21462.8,21598.2,21992.1
4,"        Agriculture, forestry, fishing, and hunting",75.2,73.8,75.7,75.8,67.2,64.8,73.3,77.7,76.7,83.6,87.1,91.1,111.3,111.7,102.3,104.4,98.1,97.8,97.1,95.4,93.5,94.8,98.1,102.2,111.4,107.6,109.1,115.9,116.0,110.6,101.8,100.2,93.8,92.6,95.9,106.7,104.1,109.6,117.0,122.7,139.9,131.7,140.3,141.9,145.6,148.9,152.3,155.1,181.5,182.9,181.4,154.5,154.7,173.3,159.9,162.7,143.4,145.5,152.6,146.8,129.0,127.0,122.6,116.2,137.8,137.5,130.9,127.7,121.4,124.0,117.0,116.3,110.2,112.6,114.9,119.8,121.9,88.5,111.1,127.0,143.4,167.2,175.3,169.3,185.0,205.2,215.0,229.1,226.4,217.6,209.9,192.9,181.8,181.5,187.6,198.8
5,"        Mining",110.7,110.2,102.6,85.9,80.4,83.5,87.4,95.0,106.7,107.7,110.7,111.3,122.3,127.2,128.6,141.6,155.9,165.1,177.2,206.8,214.2,206.8,211.5,207.8,189.6,207.1,205.7,212.1,225.4,254.7,290.8,268.1,200.0,136.1,117.4,146.3,190.6,177.6,181.1,187.3,190.3,241.7,252.4,220.0,254.8,251.3,232.6,240.5,250.5,260.6,255.3,269.5,275.5,261.5,309.0,275.9,167.4,153.8,155.6,133.1,89.4,76.9,108.6,106.7,160.6,166.8,133.8,141.0,169.3,173.2,181.6,192.7,167.3,167.1,162.7,162.1,139.0,37.1,72.2,98.7,163.7,192.5,216.5,296.0,305.3,403.4,398.1,343.6,331.4,304.3,321.8,332.8,315.6,320.0,315.1,285.8
6,"        Utilities",138.6,135.9,142.9,136.1,126.2,131.6,134.1,136.9,134.8,133.4,136.3,137.6,144.1,147.9,149.3,154.4,159.5,162.0,155.8,172.4,185.1,192.3,200.1,198.5,195.3,193.7,202.3,184.6,162.8,134.1,237.2,184.2,172.1,172.6,156.1,184.2,195.7,169.8,190.1,179.2,149.7,184.0,158.7,161.9,163.9,166.8,170.5,162.9,165.7,179.4,179.5,177.2,187.0,182.1,186.9,194.2,192.6,183.6,175.7,158.4,166.9,167.2,159.7,169.7,171.4,173.8,179.4,171.3,190.9,200.3,196.3,201.4,198.1,196.8,192.3,186.1,202.2,209.5,214.4,225.0,222.7,222.2,227.5,228.9,237.2,244.1,257.7,257.1,265.5,277.5,272.2,269.8,281.9,297.3,286.4,293.4
7,"        Construction",508.0,511.7,511.5,504.6,509.7,510.8,513.2,520.1,524.3,521.6,528.2,546.8,549.6,571.7,597.7,610.9,618.5,642.7,660.5,683.9,720.1,711.8,698.9,688.7,693.7,685.1,669.8,663.0,639.0,623.0,598.1,576.1,546.6,528.3,530.1,531.4,531.6,537.6,536.2,531.8,531.1,542.2,553.8,557.1,584.5,583.4,589.1,609.2,614.6,622.6,629.6,631.5,654.4,670.6,688.0,700.3,715.4,730.1,741.2,758.2,763.4,775.8,779.3,803.0,817.3,829.6,843.1,842.3,860.4,866.9,877.5,886.1,910.8,922.5,941.2,959.9,975.6,842.8,924.7,970.5,962.8,952.4,993.4,1030.1,1080.6,1103.1,1115.2,1126.7,1132.7,1150.9,1183.6,1209.6,1244.1,1247.1,1248.3,1263.4
8,"        Manufacturing",1171.4,1155.5,1100.8,1026.9,1060.9,1072.8,1075.4,1085.3,1086.8,1082.5,1103.7,1154.3,1159.9,1185.2,1222.0,1239.2,1317.0,1320.3,1341.4,1368.2,1414.6,1430.9,1468.2,1443.4,1458.0,1485.0,1416.9,1467.0,1410.3,1374.7,1405.4,1353.0,1219.3,1200.5,1195.0,1232.8,1267.0,1345.6,1401.7,1382.1,1353.8,1391.2,1427.5,1445.8,1556.1,1571.8,1527.9,1555.5,1587.4,1573.7,1585.2,1635.5,1564.8,1652.9,1676.4,1704.9,1725.7,1698.6,1698.8,1641.4,1649.7,1558.7,1553.0,1569.1,1567.6,1602.4,1643.6,1627.4,1686.4,1741.3,1758.0,1756.5,1736.9,1726.1,1743.6,1753.3,1720.3,1468.4,1670.8,1735.9,1809.1,1865.9,1907.0,2038.6,2148.7,2213.6,2258.2,2274.6,2266.7,2213.8,2263.0,2304.0,2301.5,2283.0,2289.1,2334.4
