Table 6.1B. National Income Without Capital Consumption Adjustment by Industry
Table 6.1B. National Income Without Capital Consumption Adjustment by Industry
"Last Revised on: October 30, 2024 - Next Release Date November 27, 2024"
Line,,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"            National income without capital consumption adjustment",240.1,248.3,253.1,254.9,247.4,243.7,243.7,239.8,250.0,262.2,279.4,290.1,302.0,309.6,315.0,321.3,322.7,324.4,330.8,342.1,347.8,350.4,348.5,340.7,342.2,342.2,345.2,353.7,365.5,374.5,381.8,388.3,392.2,398.3,403.4,411.6,418.4,420.5,424.3,417.7,411.9,413.9,426.8,439.5,450.3,464.1,461.0,465.9,478.7,479.1,480.4,478.6,480.5,489.9,499.1,512.8,520.9,527.1,532.8,540.4,547.1,556.0,564.3,574.1,586.2,596.1,607.3,615.4,634.0,645.1,656.3,675.6,695.8,705.6,716.8,729.3,735.6,742.3,757.9,773.9,794.8,816.0,835.5,852.4,868.9,884.4,902.6,911.1,916.4,928.9,943.9,944.7,982.3,1001.8,1019.3,1040.9,1073.2,1093.0,1122.4,1168.7,1206.1,1231.5,1260.6,1299.6,1312.9,1335.4,1363.6,1382.3,1392.3,1425.3,1484.9,1529.6,1580.3,1606.2,1638.5,1671.7,1718.6,1784.7,1839.5,1886.7,1925.8,2022.2,2071.2,2136.1,2190.2,2231.3,2285.8,2335.1,2380.9,2385.2,2450.3,2566.5,2648.1,2689.7,2780.2,2791.4,2795.6,2841.2,2856.5,2862.9,2913.2,2985.0,3058.5,3158.6,3280.6,3360.9,3417.8,3465.4,3515.7,3557.3,3616.5,3658.1,3714.3,3729.7,3770.9,3815.3,3885.0,3984.7,4078.4,4172.4
2,Domestic industries,238.7,246.9,251.6,253.5,246.0,242.4,242.5,238.6,248.8,260.9,277.8,288.5,300.5,307.7,313.0,319.2,320.7,322.4,328.8,340.1,345.9,348.4,346.7,338.9,340.2,340.2,343.2,351.3,363.1,372.1,379.4,385.8,389.4,395.5,400.4,409.1,415.3,417.1,421.1,415.1,409.2,411.2,424.2,436.9,447.7,461.5,458.2,462.9,475.8,476.1,477.2,475.2,476.9,486.5,495.6,509.2,517.3,523.1,528.8,535.7,542.6,551.6,559.8,569.5,581.1,591.3,602.3,610.7,628.5,639.5,651.0,670.8,690.8,700.5,711.9,724.0,730.4,737.3,752.2,768.3,789.0,810.0,829.2,846.2,862.6,878.2,896.7,905.1,910.1,922.3,937.3,938.6,974.9,993.8,1012.0,1033.2,1065.0,1084.9,1113.5,1159.6,1195.4,1219.8,1246.7,1285.3,1295.9,1319.0,1348.3,1369.0,1380.9,1413.6,1471.9,1513.6,1564.6,1589.6,1621.4,1653.8,1697.8,1763.9,1818.6,1868.0,1903.7,2003.4,2050.3,2111.5,2164.5,2201.9,2249.7,2298.6,2342.9,2349.4,2415.9,2538.0,2616.7,2659.7,2747.5,2753.7,2759.7,2800.3,2821.5,2828.8,2879.1,2948.3,3020.6,3118.9,3243.6,3323.4,3380.5,3432.1,3490.0,3529.7,3594.0,3632.5,3692.1,3714.2,3752.7,3803.3,3870.6,3966.6,4060.6,4152.8
3,"    Private industries",217.4,225.2,228.7,229.8,221.8,217.7,217.4,213.4,223.6,235.5,251.2,260.5,269.6,274.6,276.7,282.8,282.6,283.4,288.9,299.8,305.6,307.7,306.3,297.9,298.9,299.4,301.6,309.2,320.8,328.8,335.5,341.5,344.6,350.0,354.4,362.6,368.1,368.9,371.4,365.3,358.1,359.4,371.4,383.6,393.2,406.6,402.9,406.9,418.7,418.0,417.8,415.0,415.9,424.7,432.6,444.6,451.6,456.8,461.8,467.4,472.7,480.7,487.8,495.4,505.7,514.5,524.2,531.1,548.1,557.6,566.9,583.7,601.4,608.7,616.9,626.4,631.1,636.1,648.4,661.0,678.2,696.2,711.4,726.7,741.5,754.7,767.6,773.9,774.6,784.6,796.9,796.1,827.1,842.6,857.8,876.5,902.9,920.4,945.7,986.1,1020.7,1043.1,1067.5,1102.0,1109.4,1128.6,1154.3,1168.7,1176.3,1204.2,1258.7,1296.1,1342.3,1364.3,1393.3,1420.4,1461.1,1523.4,1573.3,1614.9,1646.5,1741.0,1780.2,1836.6,1883.9,1918.2,1959.3,2003.0,2041.0,2036.3,2097.6,2211.9,2281.7,2315.1,2395.3,2392.8,2391.1,2425.4,2441.0,2441.4,2484.7,2547.8,2614.1,2705.6,2822.3,2892.8,2940.3,2982.7,3030.8,3060.1,3114.3,3146.5,3200.3,3215.5,3246.6,3286.6,3349.3,3437.0,3524.2,3605.6
4,"        Agriculture, forestry, and fishing",19.5,23.2,22.8,21.3,17.9,17.3,16.6,16.2,17.0,17.1,18.4,19.4,20.4,21.0,20.6,21.2,19.4,20.2,21.5,18.5,18.7,17.9,17.3,16.9,18.1,17.2,17.3,16.1,16.4,16.8,16.2,15.4,15.7,15.8,16.2,16.3,15.4,15.7,16.2,16.0,18.6,18.6,17.9,16.9,16.9,15.8,15.6,16.4,16.0,16.9,17.6,18.1,18.0,16.7,17.0,17.8,18.1,17.6,17.2,17.6,18.2,17.4,17.3,17.5,16.2,16.2,16.2,17.5,18.3,19.0,19.2,19.7,21.9,19.4,19.2,19.2,19.2,18.5,19.5,19.2,19.3,19.0,19.9,20.3,19.8,21.2,21.9,23.1,22.6,21.5,22.5,22.0,23.1,23.5,23.8,25.5,23.5,26.3,28.6,34.4,35.3,41.7,44.7,53.8,46.5,39.3,41.2,43.7,40.4,41.4,45.6,46.8,43.2,41.6,41.0,41.5,41.4,39.9,37.8,45.5,44.6,49.0,50.0,48.2,56.3,55.3,57.8,57.6,51.5,42.0,51.1,58.9,59.5,60.6,66.5,60.4,58.9,58.4,60.0,57.8,57.0,48.7,40.1,44.4,61.0,63.0,62.7,65.3,65.7,63.2,60.9,62.1,58.9,59.0,65.2,64.5,64.4,65.0,66.8,69.8
5,"        Mining",5.5,5.6,6.1,6.0,5.7,5.3,4.7,4.4,4.8,5.8,6.3,6.4,6.3,6.4,6.4,6.5,6.6,5.9,6.1,6.4,6.3,6.2,6.4,6.2,6.1,6.1,6.0,6.3,6.5,6.7,6.8,7.2,7.5,7.7,7.5,7.7,7.6,7.7,7.7,7.3,7.0,6.7,6.8,6.9,6.8,6.8,6.4,6.5,6.7,6.9,6.9,7.0,6.8,6.8,7.0,7.1,7.0,6.9,6.8,6.8,7.0,7.3,7.4,7.4,7.5,7.6,7.4,7.5,7.6,7.5,7.5,7.6,7.7,7.7,8.0,7.9,8.0,8.0,8.2,8.2,8.5,9.1,9.2,8.9,9.0,9.1,9.3,9.4,9.8,10.2,10.6,11.1,11.0,10.8,10.9,10.3,11.8,11.5,11.8,12.2,12.8,13.3,14.5,15.8,17.9,20.4,22.4,22.3,24.9,24.5,24.7,25.4,26.1,25.3,26.0,27.4,29.3,32.5,32.9,32.3,29.5,36.1,35.8,38.4,36.9,40.4,44.7,47.5,53.3,60.5,67.2,76.6,83.7,85.3,92.9,93.1,88.4,84.6,76.9,70.9,65.7,63.0,62.4,63.2,65.8,68.9,67.4,65.0,62.7,58.8,56.4,53.2,48.4,43.5,40.7,35.6,37.6,41.8,43.3,47.4
6,"        Construction",10.2,11.0,11.6,11.6,11.3,10.9,10.8,10.9,11.4,12.1,13.0,13.7,14.3,14.9,15.0,15.3,15.8,15.8,16.2,16.5,16.7,16.5,16.5,16.8,16.7,16.8,16.5,16.8,17.3,17.9,18.2,18.1,18.9,19.8,20.4,20.6,20.7,20.9,20.8,20.8,20.1,20.0,20.4,21.0,21.5,22.2,22.4,22.4,22.2,22.6,23.0,22.7,23.1,23.4,23.7,24.3,24.5,25.3,25.9,25.8,26.3,26.9,27.5,27.9,28.6,29.4,30.0,30.8,31.5,32.2,32.7,34.1,34.8,35.6,35.9,36.0,36.4,36.6,37.6,38.2,39.0,40.3,41.0,42.5,44.0,45.7,46.5,46.0,46.9,47.0,48.2,49.5,50.0,52.3,53.3,54.8,56.7,57.4,58.5,60.3,64.1,65.2,66.9,67.6,70.3,70.4,70.1,70.6,69.6,68.5,70.4,73.0,77.2,79.8,81.7,83.6,85.1,88.7,90.4,92.9,95.9,104.6,109.2,111.7,113.5,117.3,120.7,122.6,125.0,121.0,123.0,129.4,128.6,124.9,124.1,123.2,122.6,124.0,123.0,124.3,126.8,127.5,131.5,136.2,144.6,152.0,154.0,156.8,163.0,164.2,167.9,171.7,179.6,183.7,187.6,191.9,195.2,199.8,202.3,206.7
7,"        Manufacturing",73.6,74.5,75.8,77.0,73.8,70.5,72.1,68.8,73.3,79.8,87.9,93.7,96.2,98.4,98.3,99.7,100.2,98.7,99.8,108.4,112.9,113.3,111.9,103.9,103.9,103.6,102.6,107.1,113.1,117.3,120.1,123.7,123.3,124.1,123.4,128.6,131.2,129.6,128.9,124.1,116.5,115.2,121.2,127.1,133.6,140.4,134.8,134.1,142.7,138.1,136.0,131.7,129.6,135.6,138.8,143.9,146.7,148.1,149.2,152.2,152.7,156.7,159.0,161.4,165.0,167.4,171.0,172.1,181.9,184.2,187.2,193.3,201.5,204.7,206.4,209.3,207.7,207.1,209.4,215.1,220.7,227.5,230.2,236.4,239.0,239.7,242.5,241.1,234.5,237.9,236.1,226.7,242.0,245.1,244.6,250.7,261.5,266.9,272.6,284.1,299.0,303.6,306.0,312.9,314.5,319.2,328.9,324.3,313.2,327.5,350.3,360.0,381.0,384.5,390.3,395.0,412.1,434.8,450.1,461.9,462.3,494.3,504.5,521.4,536.0,539.5,545.4,551.0,564.1,541.6,550.5,585.7,608.7,620.0,636.3,615.5,604.4,608.4,610.9,588.5,598.5,618.1,643.9,671.8,697.5,705.4,707.0,715.4,719.5,726.8,747.6,753.9,739.5,733.5,725.7,747.8,746.8,765.4,796.1,812.5
8,"            Durable goods",36.7,36.6,37.8,39.0,37.8,35.5,36.6,33.7,37.5,42.3,48.1,52.0,53.1,54.4,53.8,55.4,56.4,54.8,55.1,62.2,65.7,65.8,64.7,58.4,58.0,57.8,56.9,59.8,64.5,67.1,68.9,70.6,69.9,70.5,69.7,74.3,76.8,75.4,74.6,70.6,64.1,62.9,66.4,71.1,76.2,82.1,76.1,75.7,83.1,78.9,76.7,73.5,71.3,75.6,78.1,82.1,84.6,85.2,86.4,88.3,88.8,91.8,92.6,94.5,96.8,98.1,100.7,100.6,108.4,109.7,111.8,115.6,121.4,122.6,124.0,125.8,124.1,124.3,125.0,128.2,132.0,136.1,136.8,142.2,144.4,143.4,144.7,143.5,136.2,138.7,136.4,127.4,140.2,141.8,140.2,144.9,153.2,157.7,160.4,169.2,180.1,182.9,184.6,186.5,185.8,186.1,190.7,190.4,180.9,185.5,198.7,202.5,217.4,221.9,225.4,229.0,241.6,254.2,263.6,273.9,274.7,295.6,301.4,312.9,321.5,321.3,319.1,319.1,324.4,307.2,315.1,340.8,350.5,357.7,354.3,344.5,336.7,341.8,336.9,316.6,331.6,342.7,360.4,381.3,406.3,408.6,417.7,423.1,422.5,426.9,432.2,438.0,438.5,437.1,435.6,445.5,452.8,453.2,462.9,464.9
