Table 6.1C. National Income Without Capital Consumption Adjustment by Industry
Table 6.1C. National Income Without Capital Consumption Adjustment by Industry
"Last Revised on: October 30, 2024 - Next Release Date November 27, 2024"
Line,,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"            National income without capital consumption adjustment",3885.0,3984.7,4078.4,4172.4,4263.0,4356.5,4450.4,4558.9,4635.1,4672.5,4730.1,4775.8,4887.1,4980.8,5015.1,5047.3,5072.3,5114.7,5167.2,5227.1,5350.3,5432.4,5472.2,5566.8,5574.8,5673.8,5719.2,5856.5,5920.0,6041.7,6131.3,6238.0,6298.7,6363.1,6462.1,6544.5,6659.1,6781.5,6858.7,6987.9,7096.5,7206.3,7352.7,7473.0,7563.2,7690.8,7818.8,7909.5,8056.2,8114.2,8211.9,8388.3,8618.1,8727.7,8857.8,8926.3
2,Domestic industries,3870.6,3966.6,4060.6,4152.8,4238.0,4333.7,4430.3,4536.3,4612.7,4650.8,4705.8,4745.0,4857.6,4949.1,4988.0,4996.8,5032.8,5086.2,5142.1,5193.8,5317.5,5400.4,5443.0,5536.5,5537.6,5643.1,5683.1,5835.9,5892.6,6018.9,6110.0,6217.6,6268.9,6330.5,6443.3,6514.0,6621.8,6752.5,6832.9,6956.6,7073.4,7175.6,7329.6,7456.6,7537.9,7668.3,7809.3,7897.2,8030.2,8083.3,8183.3,8350.1,8585.0,8692.0,8827.4,8871.6
3,"    Private industries",3349.3,3437.0,3524.2,3605.6,3680.6,3762.9,3849.9,3942.6,4009.4,4036.3,4079.1,4106.9,4207.6,4282.6,4313.5,4313.6,4334.6,4375.6,4420.8,4459.2,4570.5,4642.1,4675.2,4764.9,4762.9,4862.2,4895.9,5043.4,5091.0,5209.6,5294.1,5397.1,5439.6,5496.3,5605.1,5670.7,5772.8,5896.5,5969.3,6085.1,6192.9,6286.3,6432.3,6548.1,6620.4,6740.8,6869.8,6946.9,7067.1,7106.0,7190.1,7341.5,7560.3,7651.7,7779.1,7811.9
4,"        Agriculture, forestry, and fishing",64.5,65.0,66.8,69.7,74.0,68.6,71.2,60.4,79.6,76.5,75.7,79.4,84.4,83.7,83.4,81.4,77.5,78.5,75.1,79.6,84.3,87.1,87.5,83.1,76.3,81.8,72.3,86.7,94.4,91.5,88.3,84.8,77.6,76.3,80.0,88.0,96.7,105.3,95.5,98.5,102.3,93.6,98.4,96.5,92.3,91.3,90.4,95.7,95.9,90.4,87.6,87.9,90.3,97.0,97.2,98.4
5,"        Mining",37.7,41.8,43.3,47.3,48.9,50.2,50.5,51.5,50.6,51.3,53.4,54.0,57.0,59.7,59.7,58.3,57.2,56.7,54.8,52.4,54.2,54.4,54.2,56.0,54.4,53.9,54.6,56.3,57.2,57.6,58.8,57.7,54.6,57.1,59.1,59.5,64.7,67.0,71.0,73.4,78.2,79.1,79.5,77.0,70.2,67.3,64.2,65.0,60.4,62.4,64.1,67.3,76.0,81.3,87.0,90.5
6,"        Construction",195.2,199.8,202.3,206.7,211.8,218.1,220.8,222.5,221.3,219.9,221.3,227.1,232.3,233.3,231.9,226.8,218.6,216.4,218.9,217.7,217.2,220.2,219.0,224.0,225.4,230.4,235.4,243.3,249.6,257.9,263.6,269.9,271.8,275.8,283.1,286.6,295.1,303.0,310.1,315.6,323.0,328.5,333.6,341.6,351.2,362.8,375.9,388.3,405.5,413.0,418.1,432.5,446.8,460.4,457.7,463.0
7,"        Manufacturing",746.7,765.5,796.1,812.5,844.8,862.8,877.0,899.5,888.3,876.8,874.3,871.0,896.4,921.6,914.4,910.3,903.5,904.3,913.4,907.9,909.6,920.5,924.1,941.9,905.5,952.8,951.6,998.3,989.1,1013.0,1036.0,1065.0,1064.0,1075.5,1096.0,1100.2,1091.4,1110.7,1119.1,1134.7,1141.7,1163.5,1200.1,1216.6,1186.6,1192.9,1209.7,1215.5,1234.9,1242.3,1250.0,1263.9,1322.6,1315.5,1324.5,1290.3
8,"            Durable goods",452.0,452.5,462.2,464.2,485.8,505.6,509.9,519.4,514.6,503.7,498.4,498.4,506.8,514.6,513.7,496.9,488.9,502.4,507.1,505.0,507.2,513.3,513.7,526.2,505.2,535.6,539.8,567.7,567.6,578.9,589.2,608.8,607.1,606.3,615.7,619.0,613.9,631.0,636.0,643.3,647.4,664.9,693.8,701.9,684.2,691.3,701.2,719.0,702.9,706.4,717.9,733.1,769.0,752.2,759.9,732.3
