row,industry,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
1,            All industries,109754,112864,115501,116964,115525,115968,117604,120379,123236,125461,128316,131563,134350,137228
2,Domestic industries,109820,112939,115584,117046,115607,116046,118030,120858,123713,125901,128788,132031,134864,137691
3,    Private industries1,89270,92034,94302,95231,93759,94150,96102,98852,101634,103827,106701,109704,112250,114599
4,"        Agriculture, forestry, and fishing",1671,1765,1723,1739,1735,1694,1723,1761,1818,1840,1919,1961,2054,2068
5,            Farms,964,1002,928,919,909,865,857,839,867,831,875,879,922,889
6,"            Agricultural services, forestry, and fishing",707,763,795,820,826,829,866,922,951,1009,1044,1082,1132,1179
7,        Mining,728,729,703,720,699,643,617,609,590,583,600,590,537,537
8,            Metal mining,46,52,58,60,57,55,52,50,53,55,54,49,44,40
9,            Coal mining,164,153,147,148,138,128,114,114,106,98,97,92,86,78
10,            Oil and gas extraction,405,409,384,399,398,356,347,340,323,321,339,338,295,306
11,"            Nonmetallic minerals, except fuels",113,115,114,113,106,104,104,105,108,109,110,111,112,113
12,        Construction,5069,5212,5269,5226,4794,4635,4790,5121,5304,5579,5859,6178,6570,6870
13,        Manufacturing,19092,19451,19484,19173,18506,18149,18141,18388,18548,18527,18707,18846,18605,18500
14,            Durable goods,11194,11438,11437,11153,10617,10311,10267,10485,10698,10813,11031,11228,11140,11142
15,                Lumber and wood products,759,780,766,743,687,691,719,762,775,785,803,821,838,829
16,                Furniture and fixtures,516,528,526,510,475,476,488,504,510,505,514,533,549,559
17,"                Stone, clay, and glass products",558,572,572,560,526,515,521,534,540,546,553,564,570,580
18,                Primary metal industries,744,774,778,758,726,696,683,699,708,709,711,715,699,701
19,                Fabricated metal products,1408,1435,1445,1424,1358,1333,1345,1396,1444,1453,1486,1516,1528,1543
20,                Industrial machinery and equipment,2044,2112,2128,2093,2012,1929,1937,1997,2067,2114,2166,2206,2138,2116
21,                Electronic and other electric equipment,1781,1773,1754,1687,1602,1535,1536,1581,1624,1659,1694,1706,1669,1718
22,                Motor vehicles and equipment,854,851,850,824,786,820,837,899,969,967,982,996,1022,1019
23,                Other transportation equipment,1171,1188,1199,1180,1103,1017,921,853,818,822,859,900,874,837
24,                Instruments and related products,975,1031,1023,991,965,923,891,860,842,854,865,872,853,842
25,                Miscellaneous manufacturing industries,384,394,396,383,377,376,389,400,401,399,398,399,400,398
26,            Nondurable goods,7898,8013,8047,8020,7889,7838,7874,7903,7850,7714,7676,7618,7465,7358
27,                Food and kindred products,1621,1633,1639,1662,1668,1653,1675,1680,1684,1693,1690,1691,1693,1695
28,                Tobacco products,55,55,52,51,50,48,46,43,41,41,41,40,37,35
29,                Textile mill products,729,730,723,698,672,674,679,679,663,629,616,596,559,533
