"asset_size_code","description","year"
1,"Total assets under $250,000",1947
2,"Total assets $250,000 to $999,999",1947
3,"Total assets $1 million to $5 million",1947
4,"Total assets $5 million to  less than $100 million",1947
7,"Total assets $100 million and over",1947
10,"All total asset sizes (universe totals)",1947
1,NA,1948
2,"Total assets under $250,000",1948
3,"Total assets $250,000 to $999,999",1948
4,"Total assets $1 million to $5 million",1948
7,"Total assets $5 million to  less than $100 million",1948
10,"Total assets $100 million and over",1948
NA,"All total asset sizes (universe totals)",1948
1,"Total assets under $250,000",1949
2,"Total assets $250,000 to $999,999",1949
3,"Total assets $1 million to $5 million",1949
4,"Total assets $5 million to  less than $100 million",1949
5,"Total assets $5 million and over",1949
6,"Total assets $50 million to less than $100 million",1949
7,"Total assets $100 million to less than $250 million",1949
8,"Total assets $250 million to less than $1 billion",1949
9,"Total assets $1 billion and over",1949
10,"All total asset sizes (universe totals)",1949
1,"Total assets under $250,000",1950
2,"Total assets $250,000 to $999,999",1950
3,"Total assets $1 million to $5 million",1950
4,"Total assets $5 million to  less than $100 million",1950
5,"Total assets $5 million and over",1950
6,"Total assets $50 million to less than $100 million",1950
7,"Total assets $100 million to less than $250 million",1950
8,"Total assets $250 million to less than $1 billion",1950
9,"Total assets $1 billion and over",1950
10,"All total asset sizes (universe totals)",1950
1,"Total assets under $250,000",1951
2,"Total assets $250,000 to $999,999",1951
3,"Total assets $1 million to $5 million",1951
4,"Total assets $5 million to  less than $100 million",1951
5,"Total assets $5 million and over",1951
6,"Total assets $50 million to less than $100 million",1951
7,"Total assets $100 million to less than $250 million",1951
8,"Total assets $250 million to less than $1 billion",1951
9,"Total assets $1 billion and over",1951
10,"All total asset sizes (universe totals)",1951
1,"Total assets under $250,000",1952
2,"Total assets $250,000 to $999,999",1952
3,"Total assets $1,000,000 to $4,999,999",1952
4,"Total assets $5,000,000 to $9,999,999",1952
5,"Total assets $10,000,000 to $49,999,999",1952
7,"Total assets $50,000,000 to $99,999,999",1952
8,"Total assets $100,000,000 and over",1952
9,"All total asset sizes (universe totals)",1952
1,"Total assets under $250,000",1953
2,"Total assets $250,000 to $999,999",1953
3,"Total assets $1,000,000 to $4,999,999",1953
4,"Total assets $5,000,000 to $9,999,999",1953
5,"Total assets $10,000,000 to $49,999,999",1953
7,"Total assets $50,000,000 to $99,999,999",1953
8,"Total assets $100,000,000 and over",1953
