"bsheet_item","description","year"
"SALES","Net Sales",1947
"COSTS","Costs and expenses",1947
"OPERINC","Net operating profit",1947
"OTHINCEXP","Other income or deductions - net",1947
"NIBT","Net income before Federal income taxes taxes",1947
"FEDTAXES","Provision for Federal income taxes",1947
"NIAT","Net income after Federal income taxes",1947
"DIVIDENDS","Dividends paid (cash or in kind)",1947
"TOTALCASH","Cash",1947
"GOVTSEC","U.S. Government securities",1947
"OTHSEC","Other marketable securities",1947
"TOTRECEV","Accounts and notes receivables - net",1947
"INVENTORY","Inventories",1947
"OTHCURASS","Other current assets",1947
"TOCRASSET","Total current assets",1947
"NETPPE","Property, plant, and equipment - net",1947
"OTHNCASST","Other assets including deferred charges",1947
"TOTASSET","Total assets",1947
"STBANK","Bank loans payable within 1 year",1947
"ACCTPAY","Other notes and accounts payable",1947
"FEDTAXPAY","Federal income taxes accrued",1947
"OTCURLIAB","Other current liabilities",1947
"TOCRLIAB","Total current liabilities",1947
"OTHNCLIAB","Long-term debt and other liabilities",1947
"STOCKEQ","Stockholders equity",1947
"TLIABEQUI","Total Liabilities and Stockholders’ Equity",1947
"SALES","Net Sales",1948
"COSTS","Costs and expenses",1948
"OPERINC","Net operating profit",1948
"OTHINCEXP","Other income or deductions - net",1948
"NIBT","Net income before Federal income taxes",1948
"FEDTAXES","Provision for Federal income taxes",1948
"NIAT","Net income after Federal income taxes",1948
"RETBEG","Surplus at close of preceding quarter",1948
"DIVIDENDS","Dividends paid",1948
"OTHERCRDR","Other surplus credits and charges - net",1948
"RETEND","Surplus at close of this quarter",1948
"DEPREC","Depreciation and depletion",1948
"TOTALCASH","Cash",1948
"GOVTSEC","U.S. Government securities",1948
"TOTRECEV","Accounts and notes receivables - net",1948
"INVENTORY","Inventories",1948
"OTHCURASS","Other current assets",1948
"TOCRASSET","Total current assets",1948
"NETPPE","Property, plant, and equipment - net",1948
"OTHNCASST","Other assets including deferred charges",1948
"TOTASSET","Total assets",1948
"STBANK","Bank loans payable within 1 year",1948
"ACCTPAY","Other notes and accounts payable",1948
"FEDTAXPAY","Federal income taxes accrued",1948
"OTCURLIAB","Other current liabilities",1948
"TOCRLIAB","Total current liabilities",1948
"LTBNKDEBT","Long-term debt - bank loans",1948
"LTOTHDEBT","Long-term debt - other",1948
"OTHNCLIAB","Other liabilities",1948
"OTHRES","Reserves",1948
"CAPSTOCK","Capital stock, capital surplus",1948
"RETEARN","Earned surplus and surplus reserves",1948
"SALES","Net Sales",1949
"COSTS","Costs and expenses",1949
"OPERINC","Net operating profit",1949
"OTHINCEXP","Other income or deductions - net",1949
"NIBT","Net income before taxes",1949
"FEDTAXES","Provision for Federal income taxes",1949
"NIAT","Net income after Federal income taxes",1949
"RETBEG","Surplus at close of preceding quarter",1949
"DIVIDENDS","Dividends paid",1949
"OTHERCRDR","Other surplus credits and charges - net",1949
"RETEND","Surplus at close of this quarter",1949
"DEPREC","Depreciation and depletion",1949
"TOTALCASH","Cash",1949
"GOVTSEC","U.S. Government securities",1949
"TOTRECEV","Accounts and notes receivables - net",1949
"INVENTORY","Inventories",1949
"OTHCURASS","Other current assets",1949
"TOCRASSET","Total current assets",1949
"NETPPE","Property, plant, and equipment - net",1949
"OTHNCASST","Other assets including deferred charges",1949
"TOTASSET","Total assets",1949
"STBANK","Bank loans payable within 1 year",1949
"ACCTPAY","Other notes and accounts payable",1949
"FEDTAXPAY","Federal income taxes accrued",1949
"OTCURLIAB","Other current liabilities",1949
"TOCRLIAB","Total current liabilities",1949
"LTBNKDEBT","Long-term debt - bank loans",1949
"LTOTHDEBT","Long-term debt - other",1949
"OTHNCLIAB","Other liabilities",1949
"OTHRES","Reserves",1949
"CAPSTOCK","Capital stock, capital surplus",1949
"RETEARN","Earned surplus and surplus reserves",1949
"TLIABEQUI","Total Liabilities and Stockholders’ Equity",1949
"SALES","Net Sales",1950
"COSTS","Costs and expenses",1950
"OPERINC","Net operating profit",1950
"OTHINCEXP","Other income or deductions - net",1950
"NIBT","Net income before taxes",1950
"FEDTAXES","Provision for Federal income taxes",1950
"NIAT","Net income after Federal income taxes",1950
"RETBEG","Surplus at close of preceding quarter",1950
"DIVIDENDS","Dividends paid",1950
"OTHERCRDR","Other surplus credits and charges - net",1950
"RETEND","Surplus at close of this quarter",1950
"DEPREC","Depreciation and depletion",1950
"TOTALCASH","Cash",1950
"GOVTSEC","U.S. Government securities",1950
"TOTRECEV","Accounts and notes receivables - net",1950
"INVENTORY","Inventories",1950
"OTHCURASS","Other current assets",1950
"TOCRASSET","Total current assets",1950
"NETPPE","Property, plant, and equipment - net",1950
"OTHNCASST","Other assets including deferred charges",1950
"TOTASSET","Total assets",1950
"STBANK","Bank loans payable within 1 year",1950
"ACCTPAY","Other notes and accounts payable",1950
"FEDTAXPAY","Federal income taxes accrued",1950
"OTCURLIAB","Other current liabilities",1950
"TOCRLIAB","Total current liabilities",1950
"LTBNKDEBT","Long-term debt - bank loans",1950
"LTOTHDEBT","Long-term debt - other",1950
"OTHNCLIAB","Other liabilities",1950
"OTHRES","Reserves",1950
"CAPSTOCK","Capital stock, capital surplus",1950
"RETEARN","Earned surplus and surplus reserves",1950
"TLIABEQUI","Total Liabilities and Stockholders’ Equity",1950
"SALES","Sales (net of returns, allowances, and deductions)",1951
"COSTS","Costs of goods sold",1951
"OPERINC","Gross profit from operations",1951
"OTHINCEXP","Selling, general, administrative, and other expenses",1951
"NIBT","Net profit from operations",1951
"FEDTAXES","Other income or deductions (net)",1951
"NIAT","Net profit from before Federal income and excess profits taxes",1951
"RETBEG","Provisions for Federal income and excess profits taxes",1951
"DIVIDENDS","Net profit after taxes",1951
"OTHERCRDR","Earned surplus and surplus reserves at close of preceding period",1951
"RETEND","Cash dividends charged to surplus",1951
"DEPREC","Other direct charges or credits to surplus (net)",1951
"TOTALCASH","Earned surplus and surplus reserves at end of period",1951
"GOVTSEC","Amortization of emergency facilities completed after January 1, 1950 Other depreciation and depletion Total depreciation and depletion Cash on hand and in bank U.S. Government securities, including Treasury savings notes Total cash and U.S. Government securities Receivables from U.S. Government",1951
"TOTRECEV","Other notes and accounts receivable (net) Total receivables",1951
"INVENTORY","Inventories",1951
"OTHCURASS","Other current assets",1951
"TOCRASSET","Total current assets Emergency facilities completed after January 1, 1950 Reserves for depreciation applicable to emergency facilities completed after January 1, 1950 Other property, plant, and equipment Reserves for depreciation and depletion",1951
"NETPPE","Total property, plant, and equipment (net)",1951
"OTHNCASST","Other non-current assets",1951
"TOTASSET","Total assets",1951
"STBANK","Bank loans payable within 1 year Advances and prepayments, U.S. Government",1951
"ACCTPAY","Other notes and accounts payable",1951
"FEDTAXPAY","Federal income and excess profits taxes accrued",1951
"OTCURLIAB","Other current liabilities",1951
"TOCRLIAB","Total current liabilities",1951
"LTBNKDEBT","Loans from banks due in more than one year",1951
"LTOTHDEBT","Other long-term debt",1951
"OTHNCLIAB","Other non-current liabilities",1951
"OTHRES","Total liabilities",1951
"CAPSTOCK","Reserves not reflected elsewhere",1951
"RETEARN","Capital stock, capital surplus, and minority interest",1951
"TLIABEQUI","Earned surplus and surplus reserves Total stockholders equity Total Liabilities and Stockholders’ Equity",1951
"SALES","Sales (net of returns, allowances, and discounts)",1952
"COSTS","Costs of goods sold",1952
"GROPRO","Gross profits from operations",1952
"SGAEXP","Selling, general, administrative, and other expenses",1952
"OPERINC","Net profit from operations",1952
"OTHINCEXP","Other income or deductions (net)",1952
"NIBT","Net profit before federal income taxes and excess profit taxes",1952
"FEDTAXES","Provision for Federal income taxes and excess profit taxes",1952
"NIAT","Net profit after federal income taxes and excess profit taxes",1952
"RETBEG","Earned surplus and surplus reserves at close of preceding period",1952
"DIVIDENDS","Cash dividends charged to surplus",1952
"OTHERCRDR","Other direct charges or credits to surplus (net)",1952
"RETEND","Earned surplus and surplus reserves at end of period",1952
"AMORTZ","Amortization of emergency facilities completed after January 1, 1950",1952
"OTHDEPREC","Other depreciation and depletion",1952
"DEPREC","Total depreciation and depletion",1952
"TOTALCASH","Cash on hand and in bank",1952
"GOVTSEC","U.S. Government securities, including Treasury savings notes",1952
"TOCASHSEC","Total cash and U.S. Government securities",1952
"RECUSGOVT","Receivables from U.S. Government, excluding tax credits",1952
"ACCTRECEV","Other notes and accounts receivable (net)",1952
"TOTRECEV","Total receivables",1952
"INVENTORY","Inventories",1952
"OTHCURASS","Other current assets",1952
"TOCRASSET","Total current assets",1952
"FIXASSETS","Property, plant and equipment",1952
"ACCDEPREC","Reserve for depreciation and depletion",1952
"NETPPE","Total property, plant, and equipment (net)",1952
"OTHNCASST","Other noncurrent assets",1952
"TOTASSET","Total assets",1952
"STBANK","Bank Loans payable within one year",1952
"ADVUSGOVT","Advances and prepayments by U.S. Government",1952
"ACCTPAY","Other notes and accounts payable",1952
"FEDTAXPAY","Federal income and excess profits taxes accrued",1952
"OTCURLIAB","Other current liabilities",1952
"TOCRLIAB","Total current liabilities",1952
"LTBNKDEBT","Long-term debt due in more than 1 year: Loans from banks",1952
"LTOTHDEBT","Long-term debt due in more than 1 year: Other long-term debt",1952
"OTHNCLIAB","Other noncurrent liabilities",1952
"TOTLIAB","Total liabilities",1952
"OTHRES","Reserves not reflected elsewhere",1952
"CAPSTOCK","Capital stock, capital surplus and minority interest",1952
"RETEARN","Earned surplus and surplus reserves",1952
"STHLDEQUI","Total Stockholders’ equity",1952
"TLIABEQUI","Total Liabilities and Stockholders’ Equity",1952
"NETWKCAP","Excess of  current assets over  current liabilities",1952
"SALES","Sales (net of returns, allowances, and discounts)",1953
"COSTS","Costs and expenses (net of purchase discounts)",1953
"OPERINC","Gross profit from operations",1953
"SGAEXP","Selling, General, and Administrative, and other expenses Expenses",1953
"NETPROF","Net profits from operations",1953
"OTHINCEXP","Other income or deductions (net)",1953
"NIBT","Net profit before Federal income taxes",1953
"FEDTAXES","Provision for Federal income taxes",1953
"NIAT","Net profit after taxes",1953
"RETBEG","Earned surplus and surplus reserves at beginning of period",1953
"DIVIDENDS","Cash dividends charged to surplus",1953
"OTHERCRDR","Other direct charges or credits to surplus (net)",1953
"RETEND","Earned surplus and surplus reserves at end of period",1953
"AMORTZ","Amortization of emergency facilities completed after January 1, 1950",1953
"OTHDEPREC","Other depreciation and depletion",1953
"DEPREC","Total depreciation and depletion",1953
"TOTALCASH","Cash on hand and in bank",1953
"GOVTSEC","U.S. Government securities, including Treasury savings notes",1953
"TOCASHSEC","Total cash and U.S. Government securities",1953
"RECUSGOVT","Receivables from U.S. Government, excluding tax credits",1953
"ACCTRECEV","Other notes and accounts receivable (net)",1953
"TOTRECEV","Total receivables",1953
"INVENTORY","Inventories",1953
"OTHCURASS","Other current assets",1953
"TOCRASSET","Total current assets",1953
"FIXASSETS","Property, plant and equipment",1953
"ACCDEPREC","Reserve for depreciation and depletion",1953
"NETPPE","Total property, plant, and equipment (net)",1953
"OTHNCASST","Other noncurrent assets",1953
"TOTASSET","Total assets",1953
"STBANK","Short-term loans from banks (original maturity of 1 year or less)",1953
"ADVUSGOVT","Advances and prepayments by U.S. Government",1953
"ACCTPAY","Other notes and accounts payable",1953
"FEDTAXPAY","Federal income taxes accrued",1953
"OTCURLIAB","Other current liabilities",1953
"TOCRLIAB","Total current liabilities",1953
"LTBNKDEBT","Long-term debt due in more than 1 year: Loans from banks",1953
"LTOTHDEBT","Long-term debt due in more than 1 year: Other long-term debt",1953
"OTHNCLIAB","Other noncurrent liabilities",1953
"TOTLIAB","Total liabilities",1953
"OTHRES","Reserves not reflected elsewhere",1953
"CAPSTOCK","Capital stock, capital surplus and minority interest",1953
"RETEARN","Earned surplus and surplus reserves",1953
"STHLDEQUI","Total Stockholders’ equity",1953
"TLIABEQUI","Total Liabilities and Stockholders’ Equity",1953
"NETWKCAP","Net Working Capital: Excess of total current assets over total current liabilities",1953
"SALES","Sales (net of returns, allowances, and discounts)",1954
"COSTS","Costs and expenses (net of purchase discounts)",1954
"OPERINC","Net profit from operations",1954
"OTHINCEXP","Other income or deductions (net)",1954
"NIBT","Net profit before Federal income taxes",1954
"FEDTAXES","Provision for Federal income taxes",1954
"NIAT","Net profit after taxes",1954
"DIVIDENDS","Cash dividends charged to surplus",1954
"NIRTINBUS","Net profit retained in business",1954
"RETBEG","Earned surplus and surplus reserves at beginning of period",1954
"OTHERCRDR","Other direct charges or credits to surplus (net)",1954
"RETEND","Earned surplus and surplus reserves at end of period",1954
"AMORTZ","Amortization of emergency facilities completed after January 1, 1950",1954
"OTHDEPREC","Other depreciation and depletion",1954
"DEPREC","Total depreciation and depletion",1954
"TOTALCASH","Cash on hand and in bank",1954
"GOVTSEC","U.S. Government securities, including Treasury savings notes",1954
"TOCASHSEC","Total cash and U.S. Government securities",1954
"RECUSGOVT","Receivables from U.S. Government, excluding tax credits",1954
"ACCTRECEV","Other notes and accounts receivable (net)",1954
"TOTRECEV","Total receivables",1954
"INVENTORY","Inventories",1954
"OTHCURASS","Other current assets",1954
"TOCRASSET","Total current assets",1954
"FIXASSETS","Property, plant and equipment",1954
"ACCDEPREC","Reserve for depreciation and depletion",1954
"NETPPE","Total property, plant, and equipment (net)",1954
"OTHNCASST","Other noncurrent assets",1954
"TOTASSET","Total assets",1954
"STBANK","Short-term loans from banks (original maturity of 1 year or less)",1954
"ADVUSGOVT","Advances and prepayments by U.S. Government",1954
"ACCTPAY","Other notes and accounts payable",1954
