"columns","QFR_industry_code","QFR_industry_title","standard_industry_code","year","standard_code_type"
"B","20","Food","2011 - 2099",1947,"SIC_1987"
"C","21","Tobacco manufactures","2111 - 2141",1947,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1947,"SIC_1987"
"E","23","Apparel and finished textiles","2311 - 2399",1947,"SIC_1987"
"F","24","Lumber and Wood Products, except Furniture","2411 - 2499",1947,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1947,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1947,"SIC_1987"
"I","27","Printing and Publishing, except newspapers","2721 - 2796",1947,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1947,"SIC_1987"
"K","29","Products of Petroleum and coal","2911 - 2999",1947,"SIC_1987"
"L","30","Rubber Products","3011 - 3089",1947,"SIC_1987"
"M","31","Leather and Leather Products","3111 - 3199",1947,"SIC_1987"
"N","32","Stone, Clay, and Glass Products","3211 - 3299",1947,"SIC_1987"
"O","34","Fabricated Metal Products","3411 - 3499",1947,"SIC_1987"
"P","35","Machinery","3511 - 3599",1947,"SIC_1987"
"Q","36","Electrical Machinery","3612 - 3699",1947,"SIC_1987"
"R","37","Transportation Equipment(except motor vehicles and parts)","3711 - 3799",1947,"SIC_1987"
"S","37.100000000000001","Motor Vehicles and parts","3711 - 3716",1947,"SIC_1987"
"T","38","Instruments; photographic & optical goods;watches & clocks","3812 - 3873",1947,"SIC_1987"
"U","39","Miscellaneous manufacturing including ordnance","3911 - 3999",1947,"SIC_1987"
"V - AA","20.-39.","All Manufacturing, except newspapers","2011 - 3999",1947,"SIC_1987"
"AB","33.1-33.2","Primary Iron and Steel industries","3312 - 3325, 3398 - 3399",1947,"SIC_1987"
"AC","33.5-33.6","Primary non-ferrous Metals","3331 - 3369",1947,"SIC_1987"
"B","20","Food","2011 - 2099",1948,"SIC_1987"
"C","21","Tobacco manufactures","2111 - 2141",1948,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1948,"SIC_1987"
"E","23","Apparel and finished textiles","2311 - 2399",1948,"SIC_1987"
"F","24","Lumber and Wood Products, except Furniture","2411 - 2499",1948,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1948,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1948,"SIC_1987"
"I","27","Printing and Publishing, except newspapers","2721 - 2796",1948,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1948,"SIC_1987"
"K","29","Products of Petroleum and coal","2911 - 2999",1948,"SIC_1987"
"L","30","Rubber Products","3011 - 3089",1948,"SIC_1987"
"M","31","Leather and Leather Products","3111 - 3199",1948,"SIC_1987"
"N","32","Stone, Clay, and Glass Products","3211 - 3299",1948,"SIC_1987"
"O","34","Fabricated Metal Products","3411 - 3499",1948,"SIC_1987"
"P","35","Machinery","3511 - 3599",1948,"SIC_1987"
"Q","36","Electrical Machinery","3612 - 3699",1948,"SIC_1987"
"R","37","Transportation Equipment(except motor vehicles and parts)","3720 - 3799",1948,"SIC_1987"
"S","37.100000000000001","Motor Vehicles and parts","3711 - 3716",1948,"SIC_1987"
"T","38","Instruments; photographic & optical goods;watches & clocks","3812 - 3873",1948,"SIC_1987"
"U","39","Miscellaneous manufacturing including ordnance","3911 - 3999",1948,"SIC_1987"
