"codes_1947","names_1947","codes_1948","names_1948","codes_1949","names_1949","codes_1950","names_1950","codes_1951","names_1951","codes_1952","names_1952","codes_1953","names_1953","codes_1954","names_1954","codes_1955","names_1955","codes_1956","names_1956","codes_1957","names_1957","codes_1958","names_1958","codes_1959","names_1959","codes_1960","names_1960","codes_1961","names_1961","codes_1962","names_1962","codes_1963","names_1963","codes_1964","names_1964","codes_1965","names_1965","codes_1966","names_1966","codes_1967","names_1967","codes_1968","names_1968","codes_1969","names_1969","codes_1970","names_1970","codes_1971","names_1971","codes_1972","names_1972","codes_1973","names_1973","codes_1974","names_1974","codes_1975","names_1975","codes_1976","names_1976","codes_1977","names_1977","codes_1978","names_1978","codes_1979","names_1979","codes_1980","names_1980","codes_1981","names_1981","codes_1982","names_1982","codes_1983","names_1983","codes_1984","names_1984","codes_1985","names_1985","codes_1986","names_1986","codes_1987","names_1987","codes_1988","names_1988","codes_1989","names_1989","codes_1990","names_1990","codes_1991","names_1991","codes_1992","names_1992","codes_1993","names_1993","codes_1994","names_1994","codes_1995","names_1995","codes_1996","names_1996","codes_1997","names_1997","codes_1998","names_1998","codes_1999","names_1999","codes_2000","names_2000","codes_2001","names_2001","codes_2002","names_2002","codes_2003","names_2003","codes_2004","names_2004","codes_2005","names_2005","codes_2006","names_2006","codes_2007","names_2007","codes_2008","names_2008","codes_2009","names_2009","codes_2010","names_2010","codes_2011","names_2011","codes_2012","names_2012","codes_2013","names_2013","codes_2014","names_2014","codes_2015","names_2015","codes_2016","names_2016","codes_2017","names_2017","codes_2018","names_2018","codes_2019","names_2019","codes_2020","names_2020","codes_2021","names_2021","codes_2022","names_2022","codes_2023","names_2023","codes_2024","names_2024","codes_2025","names_2025"
"20","Food","20","Food","20","Food","20","Food","20","Food and Kindred Products","20","Food","20","Food","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","20","Food and Kindred Products (includes Tobacco Manufactures)","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food","311","Food"
"21","Tobacco manufactures","21","Tobacco manufactures","21","Tobacco manufactures","21","Tobacco manufactures","2082-5","Alcoholic beverages","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Products","21","Tobacco Products","2082-5","Alcoholic Beverages","2082-5","Alcoholic Beverages","2082-5","Alcoholic Beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","202","Dairy Products","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Products Tobacco Manufactures","21","Tobacco Products","22","Textile Mill Products","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products","312","Beverage and Tobacco Products"
"22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","21","Tobacco Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Products","21","Tobacco Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","205","Bakery Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","26","Paper and Allied Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","24","Lumber and Wood Products","24","Lumber and Wood Products","24","Lumber and Wood Products","24","Lumber and Wood Products","24","Lumber and Wood Products","24","Lumber and Wood Products","24","Lumber and Wood Products","24","Lumber and Wood Products","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills","313","Textile Mills and Textile Product Mills"
"23","Apparel and finished textiles","23","Apparel and finished textiles","23","Apparel and finished textiles","23","Apparel and finished textiles","22","Textile Mill Products","23","Apparel & Finished Textiles","23","Apparel & Finished Textiles","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","2082-5","Alcoholic beverages","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","27","Printing and Publishing","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products","315","Apparel and Leather Products"
"24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","23","Apparel and Other Finished Products","24","Lumber & Wood Products","24","Lumber & Wood Products","24","Lumber and Wood Products, (Except Furniture)","24","Lumber and Wood Products, (Except Furniture)","23","Apparel and Related Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Products","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","21","Tobacco Manufactures","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","28","Chemicals and Allied Products","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products","321","Wood Products"
"25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","24","Lumber and Wood Products, except Furniture","25","Furniture & Fixtures","25","Furniture & Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","24","Lumber and Wood Products (Except Furniture)","24","Lumber and Wood Products, Except Furniture","24","Other Lumber and Wood Products","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","22","Textile Mill Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28.100000000000001","Industrial Chemicals and Synthetics","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper","322","Paper"
"26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","25","Furniture and Fixtures","26","Paper & Allied Products","26","Paper & Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","23","Apparel and Other Finished Products","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.300000000000001","Drugs","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities","323","Printing and Related Support Activities"
"27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","26","Paper and Allied Products","27","Printing & Publishing, (Except Newspapers)","27","Printing & Publishing, (Except Newspapers)","27","Printing and Publishing, (Except Newspapers)","27","Printing and Publishing, (Except Newspapers)","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","24","Lumber and Wood Products, except Furniture","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","29","Petroleum and Coal Products","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","28.100000000000001","Industrial Chemicals and Synthetics","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products","324","Petroleum and Coal Products"
"28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","27","Printing and Publishing, except newspapers","28","Chemicals & Allied Products","28","Chemicals & Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","27","Printing and Publishing (Except Newspapers)","27","Printing and Publishing, Except Newspapers","27","Printing and Publishing, Except Newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","25","Furniture and Fixtures","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","30","Rubber and Misc. Plastics Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals","325","All Other Chemicals"
"29","Products of Petroleum and coal","29","Products of Petroleum and coal","29","Products of Petroleum and coal","29","Products of Petroleum and coal","28","Chemicals and Allied Products","29","Products of Petroleum & Coal (Except Petroleum Refining)","29","Products of Petroleum & Coal (Except Petroleum Refining)","29","Products of Petroleum and Coal (Except Petroleum Refining)","29","Products of Petroleum and Coal (Except Petroleum Refining)","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","26","Paper and Allied Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Miscellaneous Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","32","Stone, Clay, and Glass Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","28.399999999999999","Residual of Chemicals","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products","326","Plastics and Rubber Products"
