NNA_code,NNA_industry,IO_pre1997_code,IO_pre1997_industry,IO_post1997_code,IO_post1997_industry,IND1990_industry,IND1990_code
111CA,Farms,111CA,Farms,111CA,Farms,"Agricultural production, crops",10
111CA,Farms,111CA,Farms,111CA,Farms,"Agricultural production, livestock",11
111CA,Farms,111CA,Farms,111CA,Farms,Landscape and horticultural services,20
111CA,Farms,111CA,Farms,111CA,Farms,"Agricultural services, n.e.c.",30
113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",Forestry,31
113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities","Fishing, hunting, and trapping",32
211,Oil and gas extraction,211,Oil and gas extraction,211,Oil and gas extraction,Oil and gas extraction,42
212,"Mining, except oil and gas",212,"Mining, except oil and gas",212,"Mining, except oil and gas",Metal mining,40
212,"Mining, except oil and gas",212,"Mining, except oil and gas",212,"Mining, except oil and gas",Coal mining,41
212,"Mining, except oil and gas",212,"Mining, except oil and gas",212,"Mining, except oil and gas","Nonmetallic mining and quarrying, except fuels",50
23,Construction,213,Support activities for mining,213,Support activities for mining,All construction,60
22,Utilities,22,Utilities,22,Utilities,Electric light and power,450
22,Utilities,22,Utilities,22,Utilities,Gas and steam supply systems,451
22,Utilities,22,Utilities,22,Utilities,"Electric and gas, and other combinations",452
22,Utilities,22,Utilities,22,Utilities,Water supply and irrigation,470
22,Utilities,22,Utilities,22,Utilities,Sanitary services,471
22,Utilities,22,Utilities,22,Utilities,"Utilities, n.s.",472
23,Construction,23,Construction,23,Construction,All construction,60
321,Wood products,321,Wood products,321,Wood products,Logging,230
321,Wood products,321,Wood products,321,Wood products,"Sawmills, planing mills, and millwork",231
321,Wood products,321,Wood products,321,Wood products,Wood buildings and mobile homes,232
321,Wood products,321,Wood products,321,Wood products,Miscellaneous wood products,241
327,Nonmetallic mineral products,327,Nonmetallic mineral products,327,Nonmetallic mineral products,Glass and glass products,250
327,Nonmetallic mineral products,327,Nonmetallic mineral products,327,Nonmetallic mineral products,"Cement, concrete, gypsum, and plaster products",251
327,Nonmetallic mineral products,327,Nonmetallic mineral products,327,Nonmetallic mineral products,Structural clay products,252
327,Nonmetallic mineral products,327,Nonmetallic mineral products,327,Nonmetallic mineral products,Pottery and related products,261
327,Nonmetallic mineral products,327,Nonmetallic mineral products,327,Nonmetallic mineral products,Misc. nonmetallic mineral and stone products,262
