"year","code_industry","industry","aggregate","value"
1963,"111CA","Farms","Total Intermediate",20715
1963,"113FF","Forestry, fishing, and related activities","Total Intermediate",2234
1963,"211","Oil and gas extraction","Total Intermediate",3897
1963,"212","Mining, except oil and gas","Total Intermediate",3764
1963,"23","Construction","Total Intermediate",40482
1963,"22","Utilities","Total Intermediate",8336
1963,"321","Wood products","Total Intermediate",4994
1963,"327","Nonmetallic mineral products","Total Intermediate",5960
1963,"331","Primary metals","Total Intermediate",20819
1963,"332","Fabricated metal products","Total Intermediate",14022
1963,"333","Machinery","Total Intermediate",11900
1963,"334","Computer and electronic products","Total Intermediate",13832
1963,"335","Electrical equipment, appliances, and components","Total Intermediate",7721
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Intermediate",29575
1963,"3364OT","Other transportation equipment","Total Intermediate",10579
1963,"337","Furniture and related products","Total Intermediate",3275
1963,"339","Miscellaneous manufacturing","Total Intermediate",6082
1963,"311FT","Food and beverage and tobacco products","Total Intermediate",54375
1963,"313TT","Textile mills and textile product mills","Total Intermediate",12598
1963,"315AL","Apparel and leather and allied products","Total Intermediate",15122
1963,"322","Paper products","Total Intermediate",10000
1963,"323PPI","Printing, publishing, and related","Total Intermediate",8806
1963,"324","Petroleum and coal products","Total Intermediate",15896
1963,"325","Chemical products","Total Intermediate",17746
1963,"326","Plastics and rubber products","Total Intermediate",4293
1963,"42","Wholesale trade","Total Intermediate",7794
1963,"44RT","Retail trade","Total Intermediate",33569
1963,"481","Air transportation","Total Intermediate",2454
1963,"482","Rail transportation","Total Intermediate",3397
1963,"483","Water transportation","Total Intermediate",1800
1963,"484","Truck transportation","Total Intermediate",5302
1963,"485","Transit and ground passenger transportation","Total Intermediate",1662
1963,"486","Pipeline transportation","Total Intermediate",657
1963,"487OS","Other transportation and support activities","Total Intermediate",2201
1963,"493","Warehousing and storage","Total Intermediate",254
1963,"512","Theaters, motion pictures, and sound recording","Total Intermediate",1281
1963,"513","Broadcasting and telecommunications","Total Intermediate",5332
1963,"51C54","Computer, data processing, internet publishing, and other information services","Total Intermediate",1231
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Intermediate",6672
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Intermediate",3299
1963,"524","Insurance carriers and related activities","Total Intermediate",8556
1963,"531","Real estate","Total Intermediate",9829
1963,"532RL","Rental and leasing services and lessors of intangible assets","Total Intermediate",2048
1963,"5411","Legal services","Total Intermediate",3020
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Total Intermediate",6490
1963,"55","Management of companies and public relations","Total Intermediate",4079
1963,"56","Administrative, support, and other business services","Total Intermediate",2535
1963,"61","Educational services","Total Intermediate",2882
1963,"621","Ambulatory health care services","Total Intermediate",4779
1963,"622HO","Hospitals and nursing and residential care facilities","Total Intermediate",2330
1963,"624","Social assistance","Total Intermediate",177
1963,"71","All recreation industries","Total Intermediate",2133
1963,"721","Accomodation","Total Intermediate",1300
1963,"722","Food services and drinking places","Total Intermediate",11310
1963,"81","Other services, except government","Total Intermediate",10207
1963,"G","All government","Total Intermediate",29965
1963,"111CA","Farms","Total Value Added",18495
1963,"113FF","Forestry, fishing, and related activities","Total Value Added",2021
1963,"211","Oil and gas extraction","Total Value Added",5731
