"year","NNA_code","NNA_industry","abs_eigenvec"
1963,"111CA","Farms",0.340870899679145
1963,"113FF","Forestry, fishing, and related activities",0.16258868606676
1963,"211","Oil and gas extraction",0.112653432115837
1963,"212","Mining, except oil and gas",0.155957271594362
1963,"22","Utilities",0.128803974327058
1963,"23","Construction",0.0422157921041148
1963,"311FT","Food and beverage and tobacco products",0.328317375999318
1963,"313TT","Textile mills and textile product mills",0.157194054595755
1963,"315AL","Apparel and leather and allied products",0.0274932583354158
1963,"321","Wood products",0.0584715917259981
1963,"322","Paper products",0.210905431062678
1963,"323PPI","Printing, publishing, and related",0.0486926630675325
1963,"324","Petroleum and coal products",0.0890530368124437
1963,"325","Chemical products",0.326028092127547
1963,"326","Plastics and rubber products",0.0713173614796157
1963,"327","Nonmetallic mineral products",0.0620909595631464
1963,"331","Primary metals",0.471663766911836
1963,"332","Fabricated metal products",0.181820391439865
1963,"333","Machinery",0.0798089677486435
1963,"334","Computer and electronic products",0.0396104207124991
1963,"335","Electrical equipment, appliances, and components",0.0449664308505701
1963,"3361MV","Motor vehicles, bodies and trailers, and parts",0.118551010660072
1963,"3364OT","Other transportation equipment",0.017823728208549
1963,"337","Furniture and related products",0.0057222990578204
1963,"339","Miscellaneous manufacturing",0.0345076333445512
1963,"42","Wholesale trade",0.248542166842015
1963,"44RT","Retail trade",0.0732649793947992
1963,"481","Air transportation",0.0176233122945385
1963,"482","Rail transportation",0.107396973592894
1963,"483","Water transportation",0.0170891190616611
1963,"484","Truck transportation",0.0982464483097266
1963,"485","Transit and ground passenger transportation",0.0189323931947118
1963,"486","Pipeline transportation",0.0145546751138272
1963,"487OS","Other transportation and support activities",0.0743572285395448
1963,"493","Warehousing and storage",0.017056019955746
1963,"512","Theaters, motion pictures, and sound recording",0.0037945608790974
1963,"513","Broadcasting and telecommunications",0.069733144925544
1963,"51C54","Computer, data processing, internet publishing, and other information services",0.0402173848052054
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.129452522889447
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0374187568499858
1963,"524","Insurance carriers and related activities",0.0966060187319315
1963,"531","Real estate",0.0911359164862289
1963,"532RL","Rental and leasing services and lessors of intangible assets",0.110785570633233
1963,"5411","Legal services",0.0384771980168074
1963,"5412OP","Miscellaneous professional, scientific, and technical services",0.177836182615508
1963,"55","Management of companies and public relations",0.119723562825624
1963,"56","Administrative, support, and other business services",0.0642572559705028
1963,"61","Educational services",0.000638076919482947
1963,"621","Ambulatory health care services",0.000380390664251566
1963,"622HO","Hospitals and nursing and residential care facilities",6.96169819094441e-05
1963,"624","Social assistance",0
1963,"71","All recreation industries",0.00863905305249584
1963,"721","Accomodation",0.0157902736931171
1963,"722","Food services and drinking places",0.0510384835058309
1963,"81","Other services, except government",0.0922881675684254
1963,"G","All government",0.0361775995281882
1964,"111CA","Farms",0.279037353274627
1964,"113FF","Forestry, fishing, and related activities",0.148336924888571
1964,"211","Oil and gas extraction",0.104049569289642
1964,"212","Mining, except oil and gas",0.173603726363691
1964,"22","Utilities",0.129751543444309
1964,"23","Construction",0.0475678338233817
1964,"311FT","Food and beverage and tobacco products",0.269526058357126
1964,"313TT","Textile mills and textile product mills",0.149195314036546
1964,"315AL","Apparel and leather and allied products",0.0228588808738096
1964,"321","Wood products",0.0566655219052336
1964,"322","Paper products",0.202277052381479
1964,"323PPI","Printing, publishing, and related",0.047623724322262
1964,"324","Petroleum and coal products",0.0814822967797823
1964,"325","Chemical products",0.326510191764891
1964,"326","Plastics and rubber products",0.0719769497467026
1964,"327","Nonmetallic mineral products",0.0620905325581174
1964,"331","Primary metals",0.539528250717467
1964,"332","Fabricated metal products",0.195852432702283
1964,"333","Machinery",0.0882741554008782
1964,"334","Computer and electronic products",0.0425953787070384
1964,"335","Electrical equipment, appliances, and components",0.0481542533541676
1964,"3361MV","Motor vehicles, bodies and trailers, and parts",0.137767357168664
1964,"3364OT","Other transportation equipment",0.0187795831638537
1964,"337","Furniture and related products",0.00536748099885168
1964,"339","Miscellaneous manufacturing",0.0319437944653142
1964,"42","Wholesale trade",0.236702235757575
