"year","nna_code","industry","item","share_in_output","gross_output","imputed_share"
1963,"111CA","Farms","Compensation of employees",0.0714367872752966,39.2,TRUE
1963,"111CA","Farms","Gross operating surplus",0.478018502086825,39.2,TRUE
1963,"111CA","Farms","Taxes on production and imports less subsidies",-0.0775165138519176,39.2,TRUE
1963,"111CA","Farms","Intermediate inputs",0.528061224489796,39.2,FALSE
1963,"113FF","Forestry, fishing, and related activities","Compensation of employees",0.184559221200649,4.3,TRUE
1963,"113FF","Forestry, fishing, and related activities","Gross operating surplus",0.292455381287182,4.3,TRUE
1963,"113FF","Forestry, fishing, and related activities","Taxes on production and imports less subsidies",0.0113574905354246,4.3,TRUE
1963,"113FF","Forestry, fishing, and related activities","Intermediate inputs",0.511627906976744,4.3,FALSE
1963,"211","Oil and gas extraction","Compensation of employees",0.15875,9.6,TRUE
1963,"211","Oil and gas extraction","Gross operating surplus",0.355,9.6,TRUE
1963,"211","Oil and gas extraction","Taxes on production and imports less subsidies",0.08125,9.6,TRUE
1963,"211","Oil and gas extraction","Intermediate inputs",0.40625,9.6,FALSE
1963,"212","Mining, except oil and gas","Compensation of employees",0.314893617021277,7.5,TRUE
1963,"212","Mining, except oil and gas","Gross operating surplus",0.120709219858156,7.5,TRUE
1963,"212","Mining, except oil and gas","Taxes on production and imports less subsidies",0.0577304964539007,7.5,TRUE
1963,"212","Mining, except oil and gas","Intermediate inputs",0.506666666666667,7.5,FALSE
1963,"23","Construction","Compensation of employees",0.287901955333148,69.3,TRUE
1963,"23","Construction","Gross operating surplus",0.124343037187074,69.3,TRUE
1963,"23","Construction","Taxes on production and imports less subsidies",0.00439983054661954,69.3,TRUE
1963,"23","Construction","Intermediate inputs",0.582972582972583,69.3,FALSE
1963,"22","Utilities","Compensation of employees",0.155614779695662,22.4,TRUE
1963,"22","Utilities","Gross operating surplus",0.383282704973881,22.4,TRUE
1963,"22","Utilities","Taxes on production and imports less subsidies",0.0905668010447422,22.4,TRUE
1963,"22","Utilities","Intermediate inputs",0.370535714285714,22.4,FALSE
1963,"321","Wood products","Compensation of employees",0.240377819186532,7.9,TRUE
1963,"321","Wood products","Gross operating surplus",0.121120606566857,7.9,TRUE
1963,"321","Wood products","Taxes on production and imports less subsidies",0.00559018184154726,7.9,TRUE
1963,"321","Wood products","Intermediate inputs",0.632911392405063,7.9,FALSE
1963,"327","Nonmetallic mineral products","Compensation of employees",0.326388423661821,11.8,TRUE
1963,"327","Nonmetallic mineral products","Gross operating surplus",0.155423058886581,11.8,TRUE
1963,"327","Nonmetallic mineral products","Taxes on production and imports less subsidies",0.00971394118041134,11.8,TRUE
1963,"327","Nonmetallic mineral products","Intermediate inputs",0.508474576271186,11.8,FALSE
1963,"331","Primary metals","Compensation of employees",0.293475293475293,33.3,TRUE
1963,"331","Primary metals","Gross operating surplus",0.0682500682500683,33.3,TRUE
1963,"331","Primary metals","Taxes on production and imports less subsidies",0.0136500136500136,33.3,TRUE
1963,"331","Primary metals","Intermediate inputs",0.624624624624625,33.3,FALSE
1963,"332","Fabricated metal products","Compensation of employees",0.317324518763368,25.9,TRUE
1963,"332","Fabricated metal products","Gross operating surplus",0.135524013221855,25.9,TRUE
1963,"332","Fabricated metal products","Taxes on production and imports less subsidies",0.00661092747423683,25.9,TRUE
1963,"332","Fabricated metal products","Intermediate inputs",0.540540540540541,25.9,FALSE
1963,"333","Machinery","Compensation of employees",0.38544061302682,25.5,TRUE
1963,"333","Machinery","Gross operating surplus",0.139463601532567,25.5,TRUE
1963,"333","Machinery","Taxes on production and imports less subsidies",0.00842911877394636,25.5,TRUE
1963,"333","Machinery","Intermediate inputs",0.466666666666667,25.5,FALSE
1963,"334","Computer and electronic products","Compensation of employees",0.295585683994089,23.7,TRUE
1963,"334","Computer and electronic products","Gross operating surplus",0.116198676347748,23.7,TRUE
1963,"334","Computer and electronic products","Taxes on production and imports less subsidies",0.00593715864550536,23.7,TRUE
1963,"334","Computer and electronic products","Intermediate inputs",0.582278481012658,23.7,FALSE
1963,"335","Electrical equipment, appliances, and components","Compensation of employees",0.302430555555556,14.4,TRUE
1963,"335","Electrical equipment, appliances, and components","Gross operating surplus",0.157677469135802,14.4,TRUE
1963,"335","Electrical equipment, appliances, and components","Taxes on production and imports less subsidies",0.00646219135802469,14.4,TRUE
1963,"335","Electrical equipment, appliances, and components","Intermediate inputs",0.534722222222222,14.4,FALSE
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Compensation of employees",0.240514665528386,46,TRUE
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Gross operating surplus",0.112006829684737,46,TRUE
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Taxes on production and imports less subsidies",0.00450027440697604,46,TRUE
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Intermediate inputs",0.643478260869565,46,FALSE
1963,"3364OT","Other transportation equipment","Compensation of employees",0.314597176079734,21.5,TRUE
1963,"3364OT","Other transportation equipment","Gross operating surplus",0.187852990033223,21.5,TRUE
1963,"3364OT","Other transportation equipment","Taxes on production and imports less subsidies",0.00528100775193798,21.5,TRUE
1963,"3364OT","Other transportation equipment","Intermediate inputs",0.493023255813953,21.5,FALSE
1963,"337","Furniture and related products","Compensation of employees",0.356442897701255,6.1,TRUE
1963,"337","Furniture and related products","Gross operating surplus",0.0974448209542998,6.1,TRUE
1963,"337","Furniture and related products","Taxes on production and imports less subsidies",0.00256433739353421,6.1,TRUE
1963,"337","Furniture and related products","Intermediate inputs",0.540983606557377,6.1,FALSE
1963,"339","Miscellaneous manufacturing","Compensation of employees",0.23782873974332,9.7,TRUE
1963,"339","Miscellaneous manufacturing","Gross operating surplus",0.125731117189144,9.7,TRUE
1963,"339","Miscellaneous manufacturing","Taxes on production and imports less subsidies",0.0060593309488744,9.7,TRUE
1963,"339","Miscellaneous manufacturing","Intermediate inputs",0.628865979381443,9.7,FALSE
1963,"311FT","Food and beverage and tobacco products","Compensation of employees",0.141477616881268,76.1,TRUE
1963,"311FT","Food and beverage and tobacco products","Gross operating surplus",0.1085393690486,76.1,TRUE
1963,"311FT","Food and beverage and tobacco products","Taxes on production and imports less subsidies",0.0348204334231058,76.1,TRUE
1963,"311FT","Food and beverage and tobacco products","Intermediate inputs",0.71484888304862,76.1,FALSE
1963,"313TT","Textile mills and textile product mills","Compensation of employees",0.224613101547594,17.8,TRUE
1963,"313TT","Textile mills and textile product mills","Gross operating surplus",0.0606317574729701,17.8,TRUE
1963,"313TT","Textile mills and textile product mills","Taxes on production and imports less subsidies",0.00551197795208819,17.8,TRUE
1963,"313TT","Textile mills and textile product mills","Intermediate inputs",0.707865168539326,17.8,FALSE
1963,"315AL","Apparel and leather and allied products","Compensation of employees",0.239685972923176,21.9,TRUE
1963,"315AL","Apparel and leather and allied products","Gross operating surplus",0.068092605944084,21.9,TRUE
1963,"315AL","Apparel and leather and allied products","Taxes on production and imports less subsidies",0.00272370423776336,21.9,TRUE
1963,"315AL","Apparel and leather and allied products","Intermediate inputs",0.689497716894977,21.9,FALSE
1963,"322","Paper products","Compensation of employees",0.228969636635142,16.4,TRUE
1963,"322","Paper products","Gross operating surplus",0.153310104529617,16.4,TRUE
1963,"322","Paper products","Taxes on production and imports less subsidies",0.0079641612742658,16.4,TRUE
1963,"322","Paper products","Intermediate inputs",0.609756097560976,16.4,FALSE
1963,"323PPI","Printing, publishing, and related","Compensation of employees",0.320782505683091,17.4,TRUE
1963,"323PPI","Printing, publishing, and related","Gross operating surplus",0.167274997598694,17.4,TRUE
1963,"323PPI","Printing, publishing, and related","Taxes on production and imports less subsidies",0.00550699580571831,17.4,TRUE
1963,"323PPI","Printing, publishing, and related","Intermediate inputs",0.505747126436782,17.4,FALSE
1963,"324","Petroleum and coal products","Compensation of employees",0.0452492211838007,18,TRUE
1963,"324","Petroleum and coal products","Gross operating surplus",0.0648753894080997,18,TRUE
1963,"324","Petroleum and coal products","Taxes on production and imports less subsidies",0.0059968847352025,18,TRUE
1963,"324","Petroleum and coal products","Intermediate inputs",0.883333333333333,18,FALSE
1963,"325","Chemical products","Compensation of employees",0.193534885667648,31.3,TRUE
1963,"325","Chemical products","Gross operating surplus",0.231957252675196,31.3,TRUE
1963,"325","Chemical products","Taxes on production and imports less subsidies",0.00901265398942478,31.3,TRUE
1963,"325","Chemical products","Intermediate inputs",0.565495207667732,31.3,FALSE
1963,"326","Plastics and rubber products","Compensation of employees",0.346304151775277,9.1,TRUE
1963,"326","Plastics and rubber products","Gross operating surplus",0.169945555963793,9.1,TRUE
1963,"326","Plastics and rubber products","Taxes on production and imports less subsidies",0.011222819733458,9.1,TRUE
1963,"326","Plastics and rubber products","Intermediate inputs",0.472527472527473,9.1,FALSE
1963,"42","Wholesale trade","Compensation of employees",0.45269915026479,47.6,TRUE
1963,"42","Wholesale trade","Gross operating surplus",0.184119086292329,47.6,TRUE
1963,"42","Wholesale trade","Taxes on production and imports less subsidies",0.199608469742318,47.6,TRUE
1963,"42","Wholesale trade","Intermediate inputs",0.163865546218487,47.6,FALSE
1963,"44RT","Retail trade","Compensation of employees",0.355112617101854,81.2,TRUE
1963,"44RT","Retail trade","Gross operating surplus",0.121815826190951,81.2,TRUE
1963,"44RT","Retail trade","Taxes on production and imports less subsidies",0.109447877217461,81.2,TRUE
1963,"44RT","Retail trade","Intermediate inputs",0.413793103448276,81.2,FALSE
1963,"481","Air transportation","Compensation of employees",0.244855967078189,4.2,TRUE
1963,"481","Air transportation","Gross operating surplus",0.104938271604938,4.2,TRUE
1963,"481","Air transportation","Taxes on production and imports less subsidies",0.0549676660787772,4.2,TRUE
1963,"481","Air transportation","Intermediate inputs",0.595238095238095,4.2,FALSE
1963,"482","Rail transportation","Compensation of employees",0.577520355913708,11.4,TRUE
1963,"482","Rail transportation","Gross operating surplus",0.141022412490557,11.4,TRUE
1963,"482","Rail transportation","Taxes on production and imports less subsidies",-0.016788382439352,11.4,TRUE
1963,"482","Rail transportation","Intermediate inputs",0.298245614035088,11.4,FALSE
1963,"483","Water transportation","Compensation of employees",0.214285714285714,2.7,TRUE
1963,"483","Water transportation","Gross operating surplus",0.111111111111111,2.7,TRUE
1963,"483","Water transportation","Taxes on production and imports less subsidies",0.00793650793650794,2.7,TRUE
1963,"483","Water transportation","Intermediate inputs",0.666666666666667,2.7,FALSE
1963,"484","Truck transportation","Compensation of employees",0.366928951631567,11.6,TRUE
1963,"484","Truck transportation","Gross operating surplus",0.165239527887063,11.6,TRUE
1963,"484","Truck transportation","Taxes on production and imports less subsidies",0.0121499652858135,11.6,TRUE
1963,"484","Truck transportation","Intermediate inputs",0.456896551724138,11.6,FALSE
1963,"485","Transit and ground passenger transportation","Compensation of employees",0.321123755334282,3.8,TRUE
1963,"485","Transit and ground passenger transportation","Gross operating surplus",0.209103840682788,3.8,TRUE
1963,"485","Transit and ground passenger transportation","Taxes on production and imports less subsidies",0.0224039829302987,3.8,TRUE
1963,"485","Transit and ground passenger transportation","Intermediate inputs",0.447368421052632,3.8,FALSE
1963,"486","Pipeline transportation","Compensation of employees",0.206349206349206,1.4,TRUE
1963,"486","Pipeline transportation","Gross operating surplus",0.253968253968254,1.4,TRUE
1963,"486","Pipeline transportation","Taxes on production and imports less subsidies",0.0396825396825397,1.4,TRUE
1963,"486","Pipeline transportation","Intermediate inputs",0.5,1.4,FALSE
1963,"487OS","Other transportation and support activities","Compensation of employees",0.484527509082155,6.7,TRUE
1963,"487OS","Other transportation and support activities","Gross operating surplus",0.16544841773537,6.7,TRUE
1963,"487OS","Other transportation and support activities","Taxes on production and imports less subsidies",0.0216658642272508,6.7,TRUE
1963,"487OS","Other transportation and support activities","Intermediate inputs",0.328358208955224,6.7,FALSE
1963,"493","Warehousing and storage","Compensation of employees",0.681818181818182,1.8,TRUE
1963,"493","Warehousing and storage","Gross operating surplus",0.143939393939394,1.8,TRUE
1963,"493","Warehousing and storage","Taxes on production and imports less subsidies",0.00757575757575758,1.8,TRUE
1963,"493","Warehousing and storage","Intermediate inputs",0.166666666666667,1.8,FALSE
1963,"512","Theaters, motion pictures, and sound recording","Compensation of employees",0.197168857431749,4.3,TRUE
1963,"512","Theaters, motion pictures, and sound recording","Gross operating surplus",0.482810920121335,4.3,TRUE
1963,"512","Theaters, motion pictures, and sound recording","Taxes on production and imports less subsidies",0.0151668351870576,4.3,TRUE
1963,"512","Theaters, motion pictures, and sound recording","Intermediate inputs",0.302325581395349,4.3,FALSE
1963,"513","Broadcasting and telecommunications","Compensation of employees",0.25619042204408,19.5,TRUE
1963,"513","Broadcasting and telecommunications","Gross operating surplus",0.39451172134099,19.5,TRUE
1963,"513","Broadcasting and telecommunications","Taxes on production and imports less subsidies",0.0780411999924195,19.5,TRUE
1963,"513","Broadcasting and telecommunications","Intermediate inputs",0.271794871794872,19.5,FALSE
1963,"51C54","Computer, data processing, internet publishing, and other information services","Compensation of employees",0.481843575418994,3.2,TRUE
1963,"51C54","Computer, data processing, internet publishing, and other information services","Gross operating surplus",0.134427374301676,3.2,TRUE
1963,"51C54","Computer, data processing, internet publishing, and other information services","Taxes on production and imports less subsidies",0.0104748603351955,3.2,TRUE
1963,"51C54","Computer, data processing, internet publishing, and other information services","Intermediate inputs",0.375,3.2,FALSE
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Compensation of employees",0.273228609625668,17.6,TRUE
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Gross operating surplus",0.3325340442731,17.6,TRUE
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Taxes on production and imports less subsidies",0.0139791381668947,17.6,TRUE
